Component,,,CVE
org.apache.activemq:activemq-console:5.4.2,CVE-2011-4905,,CVE-2011-4905
org.apache.activemq:activemq-console:5.4.2,CVE-2012-6092,,CVE-2012-6092
org.apache.activemq:activemq-console:5.4.2,CVE-2012-6551,,CVE-2012-6551
org.apache.activemq:activemq-console:5.4.2,CVE-2013-3060,,CVE-2013-3060
org.apache.activemq:activemq-console:5.4.2,CVE-2013-1879,,CVE-2013-1879
org.apache.activemq:activemq-console:5.4.2,CVE-2013-1880,,CVE-2013-1880
org.apache.activemq:activemq-console:5.4.2,CVE-2014-8110,,CVE-2014-8110
org.apache.activemq:activemq-console:5.4.2,CVE-2014-3576,,CVE-2014-3576
org.apache.activemq:activemq-console:5.4.2,CVE-2014-3612,,CVE-2014-3612
org.apache.activemq:activemq-console:5.4.2,CVE-2015-6524,,CVE-2015-6524
org.apache.activemq:activemq-console:5.4.2,CVE-2016-0734,,CVE-2016-0734
org.apache.activemq:activemq-console:5.4.2,BDSA-2016-0241 ,CVE-2016-6810,CVE-2016-6810
org.apache.activemq:activemq-console:5.4.2,BDSA-2017-0626 ,CVE-2015-7559,CVE-2015-7559
org.apache.activemq:activemq-console:5.4.2,BDSA-2016-0037 ,CVE-2016-0782,CVE-2016-0782
org.apache.activemq:activemq-console:5.4.2,CVE-2014-3600,,CVE-2014-3600
org.apache.activemq:activemq-console:5.4.2,BDSA-2018-3183 ,CVE-2018-11775,CVE-2018-11775
org.apache.activemq:activemq-console:5.4.2,BDSA-2018-3508 ,CVE-2018-8006,CVE-2018-8006
org.apache.activemq:activemq-console:5.4.2,BDSA-2016-1596 ,CVE-2016-3088,CVE-2016-3088
org.apache.activemq:activemq-console:5.4.2,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-console:5.4.2,BDSA-2015-0796 ,CVE-2015-1830,CVE-2015-1830
org.apache.activemq:activemq-console:5.4.2,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-console:5.4.2,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-console:5.4.2,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-console:5.4.2,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-console:5.4.2,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-console:5.4.2,BDSA-2023-3302 ,CVE-2022-41678,CVE-2022-41678
org.apache.activemq:activemq-core:5.4.2,CVE-2011-4905,,CVE-2011-4905
org.apache.activemq:activemq-core:5.4.2,CVE-2012-6092,,CVE-2012-6092
org.apache.activemq:activemq-core:5.4.2,CVE-2012-6551,,CVE-2012-6551
org.apache.activemq:activemq-core:5.4.2,CVE-2013-3060,,CVE-2013-3060
org.apache.activemq:activemq-core:5.4.2,CVE-2013-1879,,CVE-2013-1879
org.apache.activemq:activemq-core:5.4.2,CVE-2013-1880,,CVE-2013-1880
org.apache.activemq:activemq-core:5.4.2,CVE-2014-8110,,CVE-2014-8110
org.apache.activemq:activemq-core:5.4.2,CVE-2014-3576,,CVE-2014-3576
org.apache.activemq:activemq-core:5.4.2,CVE-2014-3612,,CVE-2014-3612
org.apache.activemq:activemq-core:5.4.2,CVE-2015-6524,,CVE-2015-6524
org.apache.activemq:activemq-core:5.4.2,CVE-2016-0734,,CVE-2016-0734
org.apache.activemq:activemq-core:5.4.2,BDSA-2016-0241 ,CVE-2016-6810,CVE-2016-6810
org.apache.activemq:activemq-core:5.4.2,BDSA-2017-0626 ,CVE-2015-7559,CVE-2015-7559
org.apache.activemq:activemq-core:5.4.2,BDSA-2016-0037 ,CVE-2016-0782,CVE-2016-0782
org.apache.activemq:activemq-core:5.4.2,CVE-2014-3600,,CVE-2014-3600
org.apache.activemq:activemq-core:5.4.2,BDSA-2018-3183 ,CVE-2018-11775,CVE-2018-11775
org.apache.activemq:activemq-core:5.4.2,BDSA-2018-3508 ,CVE-2018-8006,CVE-2018-8006
org.apache.activemq:activemq-core:5.4.2,BDSA-2016-1596 ,CVE-2016-3088,CVE-2016-3088
org.apache.activemq:activemq-core:5.4.2,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-core:5.4.2,BDSA-2015-0796 ,CVE-2015-1830,CVE-2015-1830
org.apache.activemq:activemq-core:5.4.2,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-core:5.4.2,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-core:5.4.2,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-core:5.4.2,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-core:5.4.2,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-core:5.4.2,BDSA-2023-3302 ,CVE-2022-41678,CVE-2022-41678
org.apache.activemq:activemq-run:5.4.2,CVE-2011-4905,,CVE-2011-4905
org.apache.activemq:activemq-run:5.4.2,CVE-2012-6092,,CVE-2012-6092
org.apache.activemq:activemq-run:5.4.2,CVE-2012-6551,,CVE-2012-6551
org.apache.activemq:activemq-run:5.4.2,CVE-2013-3060,,CVE-2013-3060
org.apache.activemq:activemq-run:5.4.2,CVE-2013-1879,,CVE-2013-1879
org.apache.activemq:activemq-run:5.4.2,CVE-2013-1880,,CVE-2013-1880
org.apache.activemq:activemq-run:5.4.2,CVE-2014-8110,,CVE-2014-8110
org.apache.activemq:activemq-run:5.4.2,CVE-2014-3576,,CVE-2014-3576
org.apache.activemq:activemq-run:5.4.2,CVE-2014-3612,,CVE-2014-3612
org.apache.activemq:activemq-run:5.4.2,CVE-2015-6524,,CVE-2015-6524
org.apache.activemq:activemq-run:5.4.2,CVE-2016-0734,,CVE-2016-0734
org.apache.activemq:activemq-run:5.4.2,BDSA-2016-0241 ,CVE-2016-6810,CVE-2016-6810
org.apache.activemq:activemq-run:5.4.2,BDSA-2017-0626 ,CVE-2015-7559,CVE-2015-7559
org.apache.activemq:activemq-run:5.4.2,BDSA-2016-0037 ,CVE-2016-0782,CVE-2016-0782
org.apache.activemq:activemq-run:5.4.2,CVE-2014-3600,,CVE-2014-3600
org.apache.activemq:activemq-run:5.4.2,BDSA-2018-3183 ,CVE-2018-11775,CVE-2018-11775
org.apache.activemq:activemq-run:5.4.2,BDSA-2018-3508 ,CVE-2018-8006,CVE-2018-8006
org.apache.activemq:activemq-run:5.4.2,BDSA-2016-1596 ,CVE-2016-3088,CVE-2016-3088
org.apache.activemq:activemq-run:5.4.2,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-run:5.4.2,BDSA-2015-0796 ,CVE-2015-1830,CVE-2015-1830
org.apache.activemq:activemq-run:5.4.2,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-run:5.4.2,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-run:5.4.2,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-run:5.4.2,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-run:5.4.2,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-run:5.4.2,BDSA-2023-3302 ,CVE-2022-41678,CVE-2022-41678
org.apache.activemq:kahadb:5.4.2,CVE-2011-4905,,CVE-2011-4905
org.apache.activemq:kahadb:5.4.2,CVE-2012-6092,,CVE-2012-6092
org.apache.activemq:kahadb:5.4.2,CVE-2012-6551,,CVE-2012-6551
org.apache.activemq:kahadb:5.4.2,CVE-2013-3060,,CVE-2013-3060
org.apache.activemq:kahadb:5.4.2,CVE-2013-1879,,CVE-2013-1879
org.apache.activemq:kahadb:5.4.2,CVE-2013-1880,,CVE-2013-1880
org.apache.activemq:kahadb:5.4.2,CVE-2014-8110,,CVE-2014-8110
org.apache.activemq:kahadb:5.4.2,CVE-2014-3576,,CVE-2014-3576
org.apache.activemq:kahadb:5.4.2,CVE-2014-3612,,CVE-2014-3612
org.apache.activemq:kahadb:5.4.2,CVE-2015-6524,,CVE-2015-6524
org.apache.activemq:kahadb:5.4.2,CVE-2016-0734,,CVE-2016-0734
org.apache.activemq:kahadb:5.4.2,BDSA-2016-0241 ,CVE-2016-6810,CVE-2016-6810
org.apache.activemq:kahadb:5.4.2,BDSA-2017-0626 ,CVE-2015-7559,CVE-2015-7559
org.apache.activemq:kahadb:5.4.2,BDSA-2016-0037 ,CVE-2016-0782,CVE-2016-0782
org.apache.activemq:kahadb:5.4.2,CVE-2014-3600,,CVE-2014-3600
org.apache.activemq:kahadb:5.4.2,BDSA-2018-3183 ,CVE-2018-11775,CVE-2018-11775
org.apache.activemq:kahadb:5.4.2,BDSA-2018-3508 ,CVE-2018-8006,CVE-2018-8006
org.apache.activemq:kahadb:5.4.2,BDSA-2016-1596 ,CVE-2016-3088,CVE-2016-3088
org.apache.activemq:kahadb:5.4.2,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:kahadb:5.4.2,BDSA-2015-0796 ,CVE-2015-1830,CVE-2015-1830
org.apache.activemq:kahadb:5.4.2,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:kahadb:5.4.2,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:kahadb:5.4.2,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:kahadb:5.4.2,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:kahadb:5.4.2,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:kahadb:5.4.2,BDSA-2023-3302 ,CVE-2022-41678,CVE-2022-41678
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-amqp:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-broker:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-broker:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-broker:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-broker:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-broker:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-broker:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-camel:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-camel:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-camel:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-camel:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-camel:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-camel:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-client:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-client:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-client:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-client:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-client:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-client:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-console:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-console:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-console:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-console:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-console:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-console:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-http:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-http:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-http:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-http:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-http:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-http:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-jaas:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-jdbc-store:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-jms-pool:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-kahadb-store:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-leveldb-store:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-log4j-appender:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-mqtt:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-openwire-legacy:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-partition:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-partition:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-partition:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-partition:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-partition:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
org.apache.activemq:activemq-partition:5.15.8,BDSA-2023-2967 ,CVE-2023-46604,CVE-2023-46604
org.apache.activemq:activemq-pool:5.15.8,BDSA-2019-0858 ,CVE-2019-0222,CVE-2019-0222
org.apache.activemq:activemq-pool:5.15.8,BDSA-2019-4392 ,CVE-2020-1941,CVE-2020-1941
org.apache.activemq:activemq-pool:5.15.8,BDSA-2020-2323 ,CVE-2020-13920,CVE-2020-13920
org.apache.activemq:activemq-pool:5.15.8,BDSA-2021-0225 ,CVE-2021-26117,CVE-2021-26117
org.apache.activemq:activemq-pool:5.15.8,BDSA-2021-0309 ,CVE-2020-13947,CVE-2020-13947
