Competitor Component Name (1017),Competitor CVEs,Confidence,Sonatype Component Name (1179),Sonatype CVEs,Sonatype Occurence Path
Microsoft.TestPlatform:16.0.0,,10,Microsoft.TestPlatform:16.0.0-preview-20181128-01,,OLv24-bom.xml/pkg:a-name\Microsoft.TestPlatform:16.0.0-preview-20181128-01:27221b46c04cda5dd883
ant-contrib:ant-contrib:1.0b3,,10,ant-contrib:ant-contrib:1.0b3,,OLv24-bom.xml/pkg:maven\ant-contrib\ant-contrib:1.0b3?type=jar:943cd5c8802b2a3a64a0
ant:ant-antlr:1.6.5,,10,ant:ant-antlr:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-antlr:1.6.5?type=jar:13f14688aa64d4e823f7
ant:ant-apache-bcel:1.6.5,,10,ant:ant-apache-bcel:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-bcel:1.6.5?type=jar:21b3134863fd0ec02622
ant:ant-apache-bsf:1.6.5,,10,ant:ant-apache-bsf:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-bsf:1.6.5?type=jar:1be39e74dca7216944c4
ant:ant-apache-log4j:1.6.5,"BDSA-2018-1836, CVE-2020-1945, BDSA-2012-0078, BDSA-2020-2577, BDSA-2021-2083, BDSA-2021-2085",10,ant:ant-apache-log4j:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-log4j:1.6.5?type=jar:6cc3c145f137a91cafe6
ant:ant-apache-oro:1.6.5,,10,ant:ant-apache-oro:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-oro:1.6.5?type=jar:26c225c654d08811d81a
ant:ant-apache-regexp:1.6.5,,10,ant:ant-apache-regexp:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-regexp:1.6.5?type=jar:4d3ac95482c5d55590b8
ant:ant-apache-resolver:1.6.5,,10,ant:ant-apache-resolver:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-apache-resolver:1.6.5?type=jar:9fa239dcd9091f87f12f
ant:ant-commons-logging:1.6.5,,10,ant:ant-commons-logging:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-commons-logging:1.6.5?type=jar:00a39a416f38f7e368ad
ant:ant-commons-net:1.6.5,,10,ant:ant-commons-net:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-commons-net:1.6.5?type=jar:ccb4cd25541e66979106
ant:ant-icontract:1.6.5,,10,ant:ant-icontract:1.6.5,,OLv24-bom.xml/pkg:maven\ant\ant-icontract:1.6.5?type=jar:8b39a8412ac511092e43
