Component,License,CVE,Severity
alloy-ui:3.1.0-deprecated.25,BSD-3-Clause,,
antlr:2.7.7,ANTLR-PD,,
antlr:3.0.1,BSD-3-Clause,,
aopalliance:aopalliance:1.0,"Public Domain, No Source License",,
apache regexp:1.5,Apache-2.0,,
apache taglibs:2004.02.06,Apache-2.0,,
apache tomcat native library:1.2.4,Apache-2.0,,
apache-httpclient:commons-httpclient:3.1,"Apache-2.0, No Sources",CVE-2012-5783,5.8
apache-httpclient:commons-httpclient:3.1,"Apache-2.0, No Sources",sonatype-2007-0004,7.5
args4j:args4j:2.0.16,"BSD-2-Clause, No Source License",,
asm:asm:3.1,BSD-3-Clause,,
asm:asm:4.1,BSD-3-Clause,,
asm:asm-commons:4.1,BSD-3-Clause,,
axis:axis-ant:1.4,"Not Declared, Apache-2.0",,
axis:axis-wsdl4j:1.5.1,"Not Declared, No Sources",,
backport-util-concurrent:backport-util-concurrent:3.1,"CC-PDDC, Public Domain",,
bcel:bcel:5.0,"Non-Standard, No Sources",,
biz.aqute:biz.aqute.json.util:1.0.0,"Apache-2.0, No Source License",,
biz.aqute:biz.aqute.openapi.api:1.0.0,"Apache-2.0, No Source License",,
biz.aqute:biz.aqute.openapi.provider:1.2.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:aqute.libg:3.2.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:aqute.libg:3.3.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:aqute.libg:3.5.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2017-18640,7.5
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2020-15250,5.5
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2022-25857,7.5
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2022-38749,6.5
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2022-38750,5.5
biz.aqute.bnd:biz.aqute.bnd:3.1.0,Apache-2.0,CVE-2022-38751,6.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2015-6644,3.3
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000340,7.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000341,5.9
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000342,7.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000345,5.9
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000346,3.7
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2016-1000352,7.4
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2017-18640,7.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2018-1000180,7.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2020-0187,5.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2020-15250,5.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2020-15522,5.9
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2020-26939,5.3
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2022-25857,7.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2022-38749,6.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2022-38750,5.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,CVE-2022-38751,6.5
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,sonatype-2019-0673,3.7
biz.aqute.bnd:biz.aqute.bnd:3.3.0,Apache-2.0,sonatype-2020-0770,5.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2017-18640,7.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2020-15250,5.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2022-25857,7.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2022-38749,6.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2022-38750,5.5
biz.aqute.bnd:biz.aqute.bnd:3.5.0,Apache-2.0,CVE-2022-38751,6.5
biz.aqute.bnd:biz.aqute.bnd.annotation:3.1.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.bnd.annotation:3.3.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.junit:3.1.0,"Apache-2.0, No Source License",CVE-2020-15250,5.5
biz.aqute.bnd:biz.aqute.junit:3.5.0,"Apache-2.0, No Source License",CVE-2020-15250,5.5
biz.aqute.bnd:biz.aqute.launcher:3.1.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.launcher:3.3.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.launcher:3.5.0,"Apache-2.0, No Source License",,
biz.aqute.bnd:biz.aqute.remote.api:3.2.0,Apache-2.0,,
biz.aqute.bnd:biz.aqute.remote.api:3.4.0,Apache-2.0,,
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2015-6644,3.3
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000340,7.5
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000341,5.9
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000342,7.5
biz.aqute.bnd:biz.aqute.repository:3.3.0,Apache-2.0,CVE-2016-1000345,5.9
