Competitor Component Name,Competitor CVEs,Confidence,Sonatype Component Name,Sonatype CVEs,Sonatype Occurence Path
antlr:2.7.7,,10,antlr:antlr:2.7.7,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/antlr2.jar
aopalliance:aopalliance:1.0,,10,aopalliance:aopalliance:1.0,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/aopalliance.jar
axis:axis-ant:1.4,,10,axis:axis-ant:1.4,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/axis-ant.jar
bsf:bsf:2.4.0,,10,bsf:bsf:2.4.0,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/bsf.jar
cglib:cglib-nodep:2.2,,10,cglib:cglib-nodep:2.2,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/cglib-nodep.jar
com.adobe.xmp:xmpcore:5.1.2,,10,com.adobe.xmp:xmpcore:5.1.2,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/xmpcore.jar
com.beetstra.jutf7:jutf7:1.0.0,,10,com.beetstra.jutf7:jutf7:1.0.0,,./tomcat-8.0.32/lib/ext/jutf7.jar
com.carrotsearch:hppc:0.7.1,,10,com.carrotsearch:hppc:0.7.1,,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/lib/hppc-0.7.1.jar
com.drewnoakes:metadata-extractor:2.9.1,sonatype-2021-4949,10,com.drewnoakes:metadata-extractor:2.9.1,sonatype-2021-4949,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/metadata-extractor.jar
com.fasterxml.jackson.core:jackson-core:2.8.1,"sonatype-2016-0397, sonatype-2017-0355",10,com.fasterxml.jackson.core:jackson-core:2.8.10,,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/lib/jackson-core-2.8.10.jar
com.fasterxml.jackson.core:jackson-databind:2.9.3,"CVE-2017-17485, CVE-2018-5968, CVE-2020-25649, CVE-2020-36518",10,com.fasterxml.jackson.core:jackson-databind:2.9.3,"CVE-2017-17485, CVE-2018-5968, CVE-2020-25649, CVE-2020-36518",./osgi/modules/jackson-databind-2.9.3.jar
com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.8.1,CVE-2020-28491,10,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.8.10,CVE-2020-28491,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/lib/jackson-dataformat-cbor-2.8.10.jar
com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.8.1,,10,com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.8.10,,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/lib/jackson-dataformat-smile-2.8.10.jar
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.1,,10,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.10,,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/lib/jackson-dataformat-yaml-2.8.10.jar
com.github.jsqlparser:jsqlparser:0.9.3,,10,com.github.jsqlparser:jsqlparser:0.9.3,,./osgi/core/com.liferay.portal.security.pacl.jar
com.google.code.gson:gson:2.8.1,sonatype-2021-1694,10,com.google.code.gson:gson:2.8.1,"sonatype-2021-1694, CVE-2022-25647",./osgi/modules/gson-2.8.1.jar
com.google.javascript:closure-compiler:v20131014,,10,com.google.javascript:closure-compiler:v20131014,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/closure-compiler.jar
com.googlecode.json-simple:json-simple:1.1.1,,10,com.googlecode.json-simple:json-simple:1.1.1,,./osgi/modules/json-simple-1.1.1.jar
com.googlecode.juniversalchardet:juniversalchardet:1.0.3,,10,com.googlecode.juniversalchardet:juniversalchardet:1.0.3,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/juniversalchardet.jar
com.googlecode.mp4parser:isoparser:1.1.18,,10,com.googlecode.mp4parser:isoparser:1.1.18,,./tomcat-8.0.32/webapps/assoc/WEB-INF/lib/isoparser.jar
com.ibm.icu:icu4j:54.1,,10,com.ibm.icu:icu4j:54.1,,./data/elasticsearch/plugins/analysis-icu/icu4j-54.1.jar
com.ibm.icu:icu4j:59.1,CVE-2018-18928,10,com.ibm.icu:icu4j:59.1,CVE-2018-18928,./osgi/modules/com.liferay.portal.search.elasticsearch6.impl.jar/plugins/org.elasticsearch.plugin.analysis.icu-6.1.3.zip/elasticsearch/icu4j-59.1.jar
