Component origin id,License,CVE,Vulnerability id,,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,,BDSA-2018-1836,,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,CVE-2020-1945,BDSA-2020-1128 (CVE-2020-1945),,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,,BDSA-2012-0078,,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,CVE-2020-11979,BDSA-2020-2577 (CVE-2020-11979),,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,CVE-2021-36373,BDSA-2021-2083 (CVE-2021-36373),,,,,,,,,,,,,,,,,,,,,
org.apache.ant:ant:1.8.2,,CVE-2021-36374,BDSA-2021-2085 (CVE-2021-36374),,,,,,,,,,,,,,,,,,,,,
commons-beanutils:commons-beanutils:1.9.2,,,BDSA-2014-0001,,,,,,,,,,,,,,,,,,,,,
commons-beanutils:commons-beanutils:1.9.2,,CVE-2019-10086,BDSA-2014-0129 (CVE-2019-10086),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2018-1324,BDSA-2018-0796 (CVE-2018-1324),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2018-11771,BDSA-2018-2856 (CVE-2018-11771),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,,BDSA-2019-2725,,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2021-36090,BDSA-2021-2073 (CVE-2021-36090),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2021-35516,BDSA-2021-2075 (CVE-2021-35516),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2021-35515,BDSA-2021-2076 (CVE-2021-35515),,,,,,,,,,,,,,,,,,,,,
org.apache.commons:commons-compress:1.12,,CVE-2021-35517,BDSA-2021-2078 (CVE-2021-35517),,,,,,,,,,,,,,,,,,,,,
commons-fileupload:commons-fileupload:1.3.2,,,BDSA-2013-0013,,,,,,,,,,,,,,,,,,,,,
commons-fileupload:commons-fileupload:1.3.2,,CVE-2016-1000031,BDSA-2016-1573 (CVE-2016-1000031),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2014-3623,CVE-2014-3623,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2016-6812,CVE-2016-6812,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2017-3156,CVE-2017-3156,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,,BDSA-2017-1954,,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2015-5253,BDSA-2015-0536 (CVE-2015-5253),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2018-8039,BDSA-2018-2053 (CVE-2018-8039),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2016-8739,BDSA-2016-1583 (CVE-2016-8739),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2019-12406,BDSA-2019-3417 (CVE-2019-12406),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2019-12419,BDSA-2019-3418 (CVE-2019-12419),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2019-17573,BDSA-2019-4192 (CVE-2019-17573),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2019-12423,BDSA-2019-4199 (CVE-2019-12423),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2020-1954,BDSA-2020-0615 (CVE-2020-1954),,,,,,,,,,,,,,,,,,,,,
org.apache.cxf:cxf-api:2.7.11,,CVE-2020-13954,BDSA-2020-3328 (CVE-2020-13954),,,,,,,,,,,,,,,,,,,,,
