Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
@babel/code-frame:7.0.0,,10,@babel/code-frame:7.0.0,,./yarn.lock/@babel\code-frame:7.0.0
@babel/code-frame:7.8.3,,10,@babel/code-frame:7.8.3,,./yarn.lock/@babel\code-frame:7.8.3
@babel/core:7.1.2,,10,@babel/core:7.1.2,,./yarn.lock/@babel\core:7.1.2
@babel/generator:7.1.3,,10,@babel/generator:7.1.3,,./yarn.lock/@babel\generator:7.1.3
@babel/generator:7.9.4,,10,@babel/generator:7.9.4,,./yarn.lock/@babel\generator:7.9.4
@babel/helper-annotate-as-pure:7.0.0,,10,@babel/helper-annotate-as-pure:7.0.0,,./yarn.lock/@babel\helper-annotate-as-pure:7.0.0
@babel/helper-builder-binary-assignment-operator-visitor:7.1.0,,10,@babel/helper-builder-binary-assignment-operator-visitor:7.1.0,,./yarn.lock/@babel\helper-builder-binary-assignment-operator-visitor:7.1.0
@babel/helper-builder-react-jsx:7.0.0,,10,@babel/helper-builder-react-jsx:7.0.0,,./yarn.lock/@babel\helper-builder-react-jsx:7.0.0
@babel/helper-call-delegate:7.1.0,,10,@babel/helper-call-delegate:7.1.0,,./yarn.lock/@babel\helper-call-delegate:7.1.0
@babel/helper-create-class-features-plugin:7.8.6,,10,@babel/helper-create-class-features-plugin:7.8.6,,./yarn.lock/@babel\helper-create-class-features-plugin:7.8.6
@babel/helper-define-map:7.1.0,,10,@babel/helper-define-map:7.1.0,,./yarn.lock/@babel\helper-define-map:7.1.0
@babel/helper-explode-assignable-expression:7.1.0,,10,@babel/helper-explode-assignable-expression:7.1.0,,./yarn.lock/@babel\helper-explode-assignable-expression:7.1.0
@babel/helper-function-name:7.1.0,,10,@babel/helper-function-name:7.1.0,,./yarn.lock/@babel\helper-function-name:7.1.0
@babel/helper-function-name:7.8.3,,10,@babel/helper-function-name:7.8.3,,./yarn.lock/@babel\helper-function-name:7.8.3
@babel/helper-get-function-arity:7.0.0,,10,@babel/helper-get-function-arity:7.0.0,,./yarn.lock/@babel\helper-get-function-arity:7.0.0
@babel/helper-get-function-arity:7.8.3,,10,@babel/helper-get-function-arity:7.8.3,,./yarn.lock/@babel\helper-get-function-arity:7.8.3
@babel/helper-hoist-variables:7.0.0,,10,@babel/helper-hoist-variables:7.0.0,,./yarn.lock/@babel\helper-hoist-variables:7.0.0
@babel/helper-member-expression-to-functions:7.0.0,,10,@babel/helper-member-expression-to-functions:7.0.0,,./yarn.lock/@babel\helper-member-expression-to-functions:7.0.0
@babel/helper-member-expression-to-functions:7.8.3,,10,@babel/helper-member-expression-to-functions:7.8.3,,./yarn.lock/@babel\helper-member-expression-to-functions:7.8.3
@babel/helper-module-imports:7.0.0,,10,@babel/helper-module-imports:7.0.0,,./yarn.lock/@babel\helper-module-imports:7.0.0
@babel/helper-module-transforms:7.1.0,,10,@babel/helper-module-transforms:7.1.0,,./yarn.lock/@babel\helper-module-transforms:7.1.0
@babel/helper-optimise-call-expression:7.0.0,,10,@babel/helper-optimise-call-expression:7.0.0,,./yarn.lock/@babel\helper-optimise-call-expression:7.0.0
@babel/helper-optimise-call-expression:7.8.3,,10,@babel/helper-optimise-call-expression:7.8.3,,./yarn.lock/@babel\helper-optimise-call-expression:7.8.3
@babel/helper-plugin-utils:7.0.0,,10,@babel/helper-plugin-utils:7.0.0,,./yarn.lock/@babel\helper-plugin-utils:7.0.0
@babel/helper-plugin-utils:7.10.4,,10,@babel/helper-plugin-utils:7.10.4,,./yarn.lock/@babel\helper-plugin-utils:7.10.4
@babel/helper-plugin-utils:7.8.3,,10,@babel/helper-plugin-utils:7.8.3,,./yarn.lock/@babel\helper-plugin-utils:7.8.3
@babel/helper-regex:7.0.0,,10,@babel/helper-regex:7.0.0,,./yarn.lock/@babel\helper-regex:7.0.0
@babel/helper-remap-async-to-generator:7.1.0,,10,@babel/helper-remap-async-to-generator:7.1.0,,./yarn.lock/@babel\helper-remap-async-to-generator:7.1.0
@babel/helper-replace-supers:7.1.0,,10,@babel/helper-replace-supers:7.1.0,,./yarn.lock/@babel\helper-replace-supers:7.1.0
@babel/helper-replace-supers:7.8.6,,10,@babel/helper-replace-supers:7.8.6,,./yarn.lock/@babel\helper-replace-supers:7.8.6
@babel/helper-simple-access:7.1.0,,10,@babel/helper-simple-access:7.1.0,,./yarn.lock/@babel\helper-simple-access:7.1.0
@babel/helper-split-export-declaration:7.0.0,,10,@babel/helper-split-export-declaration:7.0.0,,./yarn.lock/@babel\helper-split-export-declaration:7.0.0
@babel/helper-split-export-declaration:7.8.3,,10,@babel/helper-split-export-declaration:7.8.3,,./yarn.lock/@babel\helper-split-export-declaration:7.8.3
@babel/helper-validator-identifier:7.9.0,,10,@babel/helper-validator-identifier:7.9.0,,./yarn.lock/@babel\helper-validator-identifier:7.9.0
@babel/helper-wrap-function:7.1.0,,10,@babel/helper-wrap-function:7.1.0,,./yarn.lock/@babel\helper-wrap-function:7.1.0
@babel/helpers:7.1.2,,10,@babel/helpers:7.1.2,,./yarn.lock/@babel\helpers:7.1.2
@babel/highlight:7.0.0,,10,@babel/highlight:7.0.0,,./yarn.lock/@babel\highlight:7.0.0
@babel/highlight:7.9.0,,10,@babel/highlight:7.9.0,,./yarn.lock/@babel\highlight:7.9.0
@babel/parser:7.1.3,,10,@babel/parser:7.1.3,,./yarn.lock/@babel\parser:7.1.3
@babel/parser:7.9.4,,10,@babel/parser:7.9.4,,./yarn.lock/@babel\parser:7.9.4
@babel/plugin-external-helpers:7.0.0,,10,@babel/plugin-external-helpers:7.0.0,,./yarn.lock/@babel\plugin-external-helpers:7.0.0
@babel/plugin-proposal-class-properties:7.1.0,,10,@babel/plugin-proposal-class-properties:7.1.0,,./yarn.lock/@babel\plugin-proposal-class-properties:7.1.0
@babel/plugin-proposal-export-default-from:7.0.0,,10,@babel/plugin-proposal-export-default-from:7.0.0,,./yarn.lock/@babel\plugin-proposal-export-default-from:7.0.0
@babel/plugin-proposal-nullish-coalescing-operator:7.0.0,,10,@babel/plugin-proposal-nullish-coalescing-operator:7.0.0,,./yarn.lock/@babel\plugin-proposal-nullish-coalescing-operator:7.0.0
@babel/plugin-proposal-object-rest-spread:7.0.0,,10,@babel/plugin-proposal-object-rest-spread:7.0.0,,./yarn.lock/@babel\plugin-proposal-object-rest-spread:7.0.0
@babel/plugin-proposal-optional-catch-binding:7.0.0,,10,@babel/plugin-proposal-optional-catch-binding:7.0.0,,./yarn.lock/@babel\plugin-proposal-optional-catch-binding:7.0.0
@babel/plugin-proposal-optional-chaining:7.0.0,,10,@babel/plugin-proposal-optional-chaining:7.0.0,,./yarn.lock/@babel\plugin-proposal-optional-chaining:7.0.0
@babel/plugin-syntax-class-properties:7.0.0,,10,@babel/plugin-syntax-class-properties:7.0.0,,./yarn.lock/@babel\plugin-syntax-class-properties:7.0.0
@babel/plugin-syntax-dynamic-import:7.0.0,,10,@babel/plugin-syntax-dynamic-import:7.0.0,,./yarn.lock/@babel\plugin-syntax-dynamic-import:7.0.0
@babel/plugin-syntax-export-default-from:7.0.0,,10,@babel/plugin-syntax-export-default-from:7.0.0,,./yarn.lock/@babel\plugin-syntax-export-default-from:7.0.0
@babel/plugin-syntax-flow:7.0.0,,10,@babel/plugin-syntax-flow:7.0.0,,./yarn.lock/@babel\plugin-syntax-flow:7.0.0
@babel/plugin-syntax-flow:7.8.3,,10,@babel/plugin-syntax-flow:7.8.3,,./yarn.lock/@babel\plugin-syntax-flow:7.8.3
@babel/plugin-syntax-jsx:7.0.0,,10,@babel/plugin-syntax-jsx:7.0.0,,./yarn.lock/@babel\plugin-syntax-jsx:7.0.0
