Competitor Component Name,Competitor CVEs,Confidence,Sonatype Component Name,Sonatype CVEs,Sonatype Occurence Path
cglib:cglib-nodep,,10,cglib:cglib-nodep:2.2,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/cglib-nodep-2.2.jar
com.google.guava:guava,,10,com.google.guava:guava:30.1-jre,"sonatype-2020-0926, CVE-2020-8908",webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/guava-30.1-jre.jar
com.nulab-inc:zxcvbn,,10,com.nulab-inc:zxcvbn:1.5.2,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/zxcvbn-1.5.2.jar
com.thoughtworks.xstream:xstream,,10,com.thoughtworks.xstream:xstream:1.4.5,"CVE-2013-7285, CVE-2016-3674, CVE-2017-7957, CVE-2017-9793, CVE-2020-26217, CVE-2020-26258, CVE-2020-26259, CVE-2021-21341, CVE-2021-21342, CVE-2021-21343, CVE-2021-21344, CVE-2021-21345, CVE-2021-21346, CVE-2021-21347, CVE-2021-21348, CVE-2021-21349, CVE-2021-21350, CVE-2021-21351, CVE-2021-43859, CVE-2022-40151, CVE-2022-41966",webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/xstream-1.4.5.jar
commons-io:commons-io,,10,commons-io:commons-io:2.6,"sonatype-2018-0705, CVE-2021-29425",webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/commons-io-2.6.jar
io.jsonwebtoken:jjwt,,10,io.jsonwebtoken:jjwt:0.9.1,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jjwt-0.9.1.jar
javax.xml.bind:jaxb-api,,10,javax.xml.bind:jaxb-api:2.3.1,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jaxb-api-2.3.1.jar
org.apache.commons:commons-exec:1.3,,10,org.apache.commons:commons-exec:1.3,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/commons-exec-1.3.jar
org.apache.commons:commons-lang3,,10,org.apache.commons:commons-lang3:3.12.0,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/commons-lang3-3.12.0.jar
org.apache.commons:commons-text,,10,org.apache.commons:commons-text:1.9,CVE-2022-42889,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/commons-text-1.9.jar
org.apache.logging.log4j:log4j-api:2.15.0,,10,org.apache.logging.log4j:log4j-api:2.15.0,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/log4j-api-2.15.0.jar
org.apache.logging.log4j:log4j-core:2.15.0,"CVE-2021-45046, CVE-2021-45105, CVE-2021-44832",10,org.apache.logging.log4j:log4j-core:2.15.0,"CVE-2021-44832, CVE-2021-45046, CVE-2021-45105, sonatype-2021-4560",webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/log4j-core-2.15.0.jar
org.asciidoctor:asciidoctorj,,10,org.asciidoctor:asciidoctorj-api:2.5.3,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/asciidoctorj-api-2.5.3.jar
org.asciidoctor:asciidoctorj,,10,org.asciidoctor:asciidoctorj:2.5.3,"CVE-2015-3649, sonatype-2015-0247, sonatype-2018-0601",webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/asciidoctorj-2.5.3.jar
org.bitbucket.b_c:jose4j,,10,org.bitbucket.b_c:jose4j:0.7.6,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jose4j-0.7.6.jar
org.flywaydb:flyway-core,,10,org.flywaydb:flyway-core:8.5.13,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/flyway-core-8.5.13.jar
org.glassfish.jaxb:jaxb-runtime,,10,org.glassfish.jaxb:jaxb-runtime:2.3.6,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jaxb-runtime-2.3.6.jar
org.hsqldb:hsqldb,,10,org.hsqldb:hsqldb:2.5.2,CVE-2022-41853,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/hsqldb-2.5.2.jar
org.jruby:jruby:9.3.6.0,,10,org.jruby:jruby:9.3.6.0,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jruby-9.3.6.0.jar
org.jsoup:jsoup,,10,org.jsoup:jsoup:1.14.3,CVE-2022-36033,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/jsoup-1.14.3.jar
org.ow2.asm:asm:9.1,,10,org.ow2.asm:asm:9.1,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/asm-9.1.jar
org.projectlombok:lombok,,10,org.projectlombok:lombok:1.18.24,,webgoat-8.2.3-SNAPSHOT.jar/BOOT-INF/lib/lombok-1.18.24.jar
