Group Name,Project Name,Tool,Scanner Name,Status,Vulnerability,Details,Additional Info,Severity,CVE,CWE,Other Identifiers,Detected At,Location,Activity,Comments,Full Path,CVSS Vectors
Test-Group,NodeGoat,secret_detection,Gitleaks,detected,Password in URL,Password in URL,,critical,,,"""Gitleaks rule ID Password in URL""",2023-12-05 15:42:16 UTC,"{""file""=>""README.md"", ""commit""=>{""sha""=>""0000000""}, ""start_line""=>61}",false,"",test-group260849/NodeGoat/101838477,""
Test-Group,NodeGoat,secret_detection,Gitleaks,detected,Password in URL,Password in URL,,critical,,,"""Gitleaks rule ID Password in URL""",2023-12-05 15:42:16 UTC,"{""file""=>""README.md"", ""commit""=>{""sha""=>""0000000""}, ""start_line""=>135}",false,"",test-group260849/NodeGoat/101838478,""
Test-Group,NodeGoat,secret_detection,Gitleaks,detected,RSA private key,RSA private key,,critical,,,"""Gitleaks rule ID RSA private key""",2023-12-05 15:42:16 UTC,"{""file""=>""artifacts/cert/server.key"", ""commit""=>{""sha""=>""0000000""}, ""start_line""=>1}",false,"",test-group260849/NodeGoat/101838479,""
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),The oauth Random Token is generated using a non-cryptographically strong RNG (`Math.random()`).,,medium,CVE-2017-16028,,Gemnasium-02ecf2a1-b2bc-4177-a512-11b0fe71dff0,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""randomatic""}, ""version""=>""1.1.5""}}",false,"",test-group260849/NodeGoat/101844019,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N=NVD; AV:N/AC:L/Au:N/C:P/I:N/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Uncontrolled Resource Consumption,An attacker that is able to make an HTTP request using a specially crafted cookie may cause the application to consume an excessive amount of CPU.,,high,CVE-2017-15010,,Gemnasium-ee8589b3-792a-496d-84b9-ed8f688d060b,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""tough-cookie""}, ""version""=>""2.2.2""}}",false,"",test-group260849/NodeGoat/101844020,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Arbitrary local file read vulnerability during template rendering ,"Directory traversal vulnerability in swig-templates thru 2.0.4 and swig thru 1.4.2, allows attackers to read arbitrary files via the include or extends tags.",,high,CVE-2023-25345,,Gemnasium-95b46878-fe1b-4380-a0a1-41ed6bf5e026; GHSA-2rq5-699j-x7p6,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""swig""}, ""version""=>""1.4.2""}}",false,"",test-group260849/NodeGoat/101844021,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Uncontrolled Resource Consumption,websocket-extensions npm module allows Denial of Service (DoS) via Regex Backtracking. The extension parser may take quadratic time when parsing a header containing an unclosed string parameter value whose content is a repeating two-byte sequence of a backslash and some other character. This could be abused by an attacker to conduct Regex Denial Of Service (ReDoS) on a single-threaded server by providing a malicious payload with the `Sec-WebSocket-Extensions` header.,,high,CVE-2020-7662,,Gemnasium-38aa745f-c8a3-48c0-b24b-27cb4d48e1de; GHSA-g78m-2chm-r7qv,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""websocket-extensions""}, ""version""=>""0.1.3""}}",false,"",test-group260849/NodeGoat/101844022,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD; AV:N/AC:L/Au:N/C:N/I:N/A:P=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Uncontrolled Search Path Element,Attackers could trick execa into executing arbitrary binaries. This behaviour is caused by the setting `preferLocal=true` which makes execa search for locally installed binaries and executes them. This vulnerability is usually only exploitable when using execa on a client-side LOCAL application.,,critical,,,Gemnasium-05cfa2e8-2d0c-42c1-8894-638e2f12ff3d,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""execa""}, ""version""=>""0.10.0""}}",false,"",test-group260849/NodeGoat/101844023,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=Unknown; AV:N/AC:L/Au:N/C:C/I:C/A:C=Unknown
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Cross-site Scripting,"Due to the way that marked parses input, specifically HTML entities, it's possible to bypass marked's content injection protection (`sanitize: true`) to inject a `javascript:` URL. This flaw exists because `&#xNNanything;` gets parsed to what it could and leaves the rest behind, resulting in just `anything;` being left.",,medium,CVE-2016-10531,,Gemnasium-9b68d0d1-922a-419e-90b5-34a708569b9f,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""marked""}, ""version""=>""0.3.5""}}",false,"",test-group260849/NodeGoat/101844024,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N=NVD; AV:N/AC:M/Au:N/C:N/I:P/A:N=NVD
Test-Group,NodeGoat,dependency_scanning,Gemnasium,detected,Improper Privilege Management in shelljs,"Output from the synchronous version of `shell.exec()` may be visible to other users on the same system. You may be affected if you execute `shell.exec()` in multi-user Mac, Linux, or WSL environments, or if you execute `shell.exec()` as the root user. Other shelljs functions (including the asynchronous version of `shell.exec()`) are not impacted.",,unknown,,,GHSA-64g7-mvw6-v9qj; Gemnasium-0d528ed9-c504-475b-a1a5-590591214c86,2023-12-05 15:47:19 UTC,"{""file""=>""package-lock.json"", ""dependency""=>{""package""=>{""name""=>""shelljs""}, ""version""=>""0.3.0""}}",false,"",test-group260849/NodeGoat/101844025,""
