Group Name,Project Name,Tool,Scanner Name,Status,Vulnerability,Details,Additional Info,Severity,CVE,CWE,Other Identifiers,Detected At,Location,Activity,Comments,Full Path,CVSS Vectors
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Allocation of Resources Without Limits or Throttling,"Jetty is a java based web server and servlet engine. In affected versions servlets with multipart support (e.g. annotated with `@MultipartConfig`) that call `HttpServletRequest.getParameter()` or `HttpServletRequest.getParts()` may cause `OutOfMemoryError` when the client sends a multipart request with a part that has a name but no filename and very large content. This happens even with the default settings of `fileSizeThreshold=0` which should stream the whole part content to disk. An attacker client may send a large multipart request and cause the server to throw `OutOfMemoryError`. However, the server may be able to recover after the `OutOfMemoryError` and continue its service -- although it may take some time. This issue has been patched in versions 9.4.51, 10.0.14, and 11.0.14. Users are advised to upgrade. Users unable to upgrade may set the multipart parameter `maxRequestSize` which must be set to a non-negative value, so the whole multipart content is limited (although still read into memory).",,medium,CVE-2023-26048,,Gemnasium-3d81d28b-858f-46c7-9d77-fcf0e38dffb2; GHSA-qw69-rqj8-6qw8,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.eclipse.jetty/jetty-util""}, ""version""=>""9.4.48.v20220622""}}",false,"",test-group260849/webgoat_pom-comparison/103365827,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Allocation of Resources Without Limits or Throttling,"Apache Commons FileUpload before 1.5 does not limit the number of request parts to be processed resulting in the possibility of an attacker triggering a DoS with a malicious upload or series of uploads. Note that, like all of the file upload limits, the new configuration option (FileUploadBase#setFileCountMax) is not enabled by default and must be explicitly configured.",,high,CVE-2023-24998,,GHSA-hfrx-6qgj-fp6c; Gemnasium-dfc0b48e-f957-4d1d-965a-060acd85645c,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""commons-fileupload/commons-fileupload""}, ""version""=>""1.4""}}",false,"",test-group260849/webgoat_pom-comparison/103365828,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Deserialization of Untrusted Data,XStream is a simple library to serialize objects to XML and back again. if using the version out of the box with Java runtime to 8 or with JavaFX installed. Users who followed the recommendation to setup XStream's security framework with an allow list limited to the minimal required types are not impacted.,,high,CVE-2021-39153,,Gemnasium-90f5620b-8455-4780-ad7a-214c38cc2898; GHSA-2q8x-2p7f-574v,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""com.thoughtworks.xstream/xstream""}, ""version""=>""1.4.5""}}",false,"",test-group260849/webgoat_pom-comparison/103365829,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H=NVD; AV:N/AC:M/Au:S/C:P/I:P/A:P=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Deserialization of Untrusted Data,"XStream is a simple library to serialize objects to XML and back again.However, this scenario can be adjusted easily to an external Xalan that works regardless of the version of the Java runtime. Users who followed the recommendation to setup XStream's security framework with an allow list limited to the minimal required types are not impacted.",,high,CVE-2021-39139,,Gemnasium-9d8fd936-7f4a-4de7-97f5-df86f32dea36; GHSA-64xx-cq4q-mf44,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""com.thoughtworks.xstream/xstream""}, ""version""=>""1.4.5""}}",false,"",test-group260849/webgoat_pom-comparison/103365830,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:L/Au:S/C:P/I:P/A:P=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') in org.eclipse.jetty:jetty-servlets.,,medium,CVE-2023-36479,,Gemnasium-a7ee767c-4c2d-4803-8b6d-36397481f7ed; GHSA-3gh6-v5v9-6v9j,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.eclipse.jetty/jetty-servlets""}, ""version""=>""9.4.48.v20220622""}}",false,"",test-group260849/webgoat_pom-comparison/103365831,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Spring Boot Security Bypass with Wildcard Pattern Matching on Cloud Foundry,"In Spring Boot versions 3.0.0 - 3.0.5, 2.7.0 - 2.7.10, and older unsupported versions, an application that is deployed to Cloud Foundry could be susceptible to a security bypass. Users of affected versions should apply the following mitigation: 3.0.x users should upgrade to 3.0.6+. 2.7.x users should upgrade to 2.7.11+. Users of older, unsupported versions should upgrade to 3.0.6+ or 2.7.11+.",,critical,CVE-2023-20873,,GHSA-g5h3-w546-pj7f; Gemnasium-748c9b6b-3d58-49fd-b154-0167e8921eda,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.springframework.boot/spring-boot-actuator-autoconfigure""}, ""version""=>""2.7.1""}}",false,"",test-group260849/webgoat_pom-comparison/103365832,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Spring Security authorization rules can be bypassed via forward or include dispatcher types,"Spring Security, versions 5.7 prior to 5.7.5 and 5.6 prior to 5.6.9 could be susceptible to authorization rules bypass via forward or include dispatcher types. Specifically, an application is vulnerable when all of the following are true: The application expects that Spring Security applies security to forward and include dispatcher types. The application uses the AuthorizationFilter either manually or via the authorizeHttpRequests() method. The application configures the FilterChainProxy to apply to forward and/or include requests (e.g. spring.security.filter.dispatcher-types = request, error, async, forward, include). The application may forward or include the request to a higher privilege-secured endpoint. The application configures Spring Security to apply to every dispatcher type via authorizeHttpRequests().shouldFilterAllDispatcherTypes(true)",,critical,CVE-2022-31692,,Gemnasium-ab1bef39-c3dc-45e8-8ab6-3af59d65d7ce; GHSA-mmmh-wcxm-2wr4,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.springframework.security/spring-security-web""}, ""version""=>""5.7.2""}}",false,"",test-group260849/webgoat_pom-comparison/103365833,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Exposure of Sensitive Information to an Unauthorized Actor,"Jetty is a java based web server and servlet engine. Nonstandard cookie parsing in Jetty may allow an attacker to smuggle cookies within other cookies, or otherwise perform unintended behavior by tampering with the cookie parsing mechanism. If Jetty sees a cookie VALUE that starts with `""` (double quote), it will continue to read the cookie string until it sees a closing quote -- even if a semicolon is encountered. So, a cookie header such as: `DISPLAY_LANGUAGE=""b; JSESSIONID=1337; c=d""` will be parsed as one cookie, with the name DISPLAY_LANGUAGE and a value of b; JSESSIONID=1337; c=d instead of 3 separate cookies. This has security implications because if, say, JSESSIONID is an HttpOnly cookie, and the DISPLAY_LANGUAGE cookie value is rendered on the page, an attacker can smuggle the JSESSIONID cookie into the DISPLAY_LANGUAGE cookie and thereby exfiltrate it. This is significant when an intermediary is enacting some policy based on cookies, so a smuggled cookie can bypass that policy yet still be seen by the Jetty server or its logging system. This issue has been addressed in versions 9.4.51, 10.0.14, 11.0.14, and 12.0.0.beta0 and users are advised to upgrade. There are no known workarounds for this issue.",,medium,CVE-2023-26049,,Gemnasium-af1d47fb-cdfc-4a87-be1f-cb35aa6d20ef; GHSA-p26g-97m4-6q7c,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.eclipse.jetty/jetty-http""}, ""version""=>""9.4.48.v20220622""}}",false,"",test-group260849/webgoat_pom-comparison/103365834,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,OS Command Injection,XStream is vulnerable to Remote Code Execution. The vulnerability may allow a remote attacker to run arbitrary shell commands only by manipulating the processed input stream. Only users who rely on blocklists are affected. Anyone using XStream's Security Framework allowlist is not affected. The linked advisory provides code workarounds for users who cannot upgrade. The issue is fixed ,,high,CVE-2020-26217,,Gemnasium-29b573df-a9bb-4054-bcf5-953f4d59b0eb; GHSA-mw36-7c6c-q4q2,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""com.thoughtworks.xstream/xstream""}, ""version""=>""1.4.5""}}",false,"",test-group260849/webgoat_pom-comparison/103365835,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H=NVD; AV:N/AC:M/Au:N/C:C/I:C/A:C=NVD
Test-Group,Webgoat_Pom-Comparison,dependency_scanning,gemnasium-maven,detected,Out-of-bounds Write,"Those using Snakeyaml to parse untrusted YAML files may be vulnerable to Denial of Service attacks (DOS). If the parser is running on user supplied input, an attacker may supply content that causes the parser to crash by stack overflow. This effect may support a denial of service attack.",,medium,CVE-2022-41854,,Gemnasium-12dfd4b9-bb8c-4e49-8585-a713738011cb,2023-12-20 17:45:04 UTC,"{""file""=>""pom.xml"", ""dependency""=>{""package""=>{""name""=>""org.yaml/snakeyaml""}, ""version""=>""1.30""}}",false,"",test-group260849/webgoat_pom-comparison/103365836,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H=NVD
