Competitor Component Name (1139),Competitor CVEs,Confidence,Sonatype Component Name (1155),Sonatype CVEs,Sonatype Occurence Path
1to2:1.0.0,,10,1to2:1.0.0,,NodeGoat.tar.gz/node_modules/nan/tools/package.json
listr-verbose-renderer:0.4.1,,10,@cypress/listr-verbose-renderer:0.4.1,,NodeGoat.tar.gz/node_modules/@cypress/listr-verbose-renderer/index.js
@cypress/xvfb:1.2.4,,10,@cypress/xvfb:1.2.4,,NodeGoat.tar.gz/node_modules/@cypress/xvfb/index.js
@types/blob-util:1.3.3,,10,@types/blob-util:1.3.3,,NodeGoat.tar.gz/node_modules/cypress/types/blob-util/index.d.ts
@types/bluebird:3.5.29,,10,@types/bluebird:3.5.29,,NodeGoat.tar.gz/node_modules/cypress/types/bluebird/index.d.ts
@types/chai-jquery:1.1.40,,10,@types/chai-jquery:1.1.40,,NodeGoat.tar.gz/node_modules/cypress/types/chai-jquery/LICENSE
@types/chai:4.2.7,,10,@types/chai:4.2.7,,NodeGoat.tar.gz/node_modules/cypress/types/chai/index.d.ts
@types/jquery:3.3.31,,10,@types/jquery:3.3.31,,NodeGoat.tar.gz/node_modules/cypress/types/jquery/JQuery.d.ts
@types/lodash:4.14.149,,10,@types/lodash:4.14.149,,NodeGoat.tar.gz/node_modules/cypress/types/lodash/add.d.ts
minimatch:3.0.3,CVE-2022-3517,10,@types/minimatch:3.0.3,sonatype-2021-4879,NodeGoat.tar.gz/node_modules/cypress/types/minimatch/index.d.ts
@types/mocha:5.2.7,,10,@types/mocha:5.2.7,,NodeGoat.tar.gz/node_modules/cypress/types/mocha/index.d.ts
@types/sinon-chai:3.2.3,,10,@types/sinon-chai:3.2.3,,NodeGoat.tar.gz/node_modules/cypress/types/sinon-chai/LICENSE
@types/sinon:7.5.1,,10,@types/sinon:7.5.1,,NodeGoat.tar.gz/node_modules/cypress/types/sinon/index.d.ts
@types/sizzle:2.3.2,,10,@types/sizzle:2.3.2,,NodeGoat.tar.gz/node_modules/@types/sizzle/index.d.ts
abbrev:1.0.9,,10,abbrev:1.0.9,,NodeGoat.tar.gz/node_modules/npm/node_modules/abbrev/abbrev.js
abbrev:1.1.1,,10,abbrev:1.1.1,,NodeGoat.tar.gz/node_modules/abbrev/abbrev.js
accepts:1.3.8,,10,accepts:1.3.8,,NodeGoat.tar.gz/node_modules/accepts/index.js
adm-zip:0.4.4,CVE-2018-1002204,10,adm-zip:0.4.4,CVE-2018-1002204,NodeGoat.tar.gz/node_modules/adm-zip/adm-zip.js
ajv:6.12.6,,10,ajv:6.12.6,,NodeGoat.tar.gz/node_modules/ajv/.tonic_example.js
align-text:0.1.4,,10,align-text:0.1.4,,NodeGoat.tar.gz/node_modules/nyc/node_modules/align-text/index.js
amdefine:1.0.0,,10,amdefine:1.0.0,,NodeGoat.tar.gz/node_modules/nyc/node_modules/amdefine/amdefine.js
amdefine:1.0.1,,10,amdefine:1.0.1,,NodeGoat.tar.gz/node_modules/amdefine/amdefine.js
ansi-align:2.0.0,,10,ansi-align:2.0.0,,NodeGoat.tar.gz/node_modules/ansi-align/index.js
ansi-escapes:1.4.0,,10,ansi-escapes:1.4.0,,NodeGoat.tar.gz/node_modules/ansi-escapes/index.js
ansi-regex:2.0.0,,10,ansi-regex:2.0.0,,NodeGoat.tar.gz/node_modules/npm/node_modules/ansi-regex/index.js
ansi-regex:2.1.1,,10,ansi-regex:2.1.1,,NodeGoat.tar.gz/node_modules/ansi-regex/index.js
ansi-regex:3.0.1,,10,ansi-regex:3.0.1,,NodeGoat.tar.gz/node_modules/ansi-align/node_modules/ansi-regex/index.js
ansi-styles:2.2.1,,10,ansi-styles:2.2.1,,NodeGoat.tar.gz/node_modules/ansi-styles/index.js
ansi-styles:3.2.1,,10,ansi-styles:3.2.1,,NodeGoat.tar.gz/node_modules/chalk/node_modules/ansi-styles/index.js
