Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
micromatch,MIT,http://www.opensource.org/licenses/MIT,npm,micromatch:2.3.11,npm://micromatch,2.3.11
ansi-regex,MIT,http://www.opensource.org/licenses/MIT,npm,ansi-regex:3.0.1,npm://ansi-regex,3.0.1
arch,MIT,http://www.opensource.org/licenses/MIT,npm,arch:2.1.1,npm://arch,2.1.1
capture-stack-trace,MIT,http://www.opensource.org/licenses/MIT,npm,capture-stack-trace:1.0.2,npm://capture-stack-trace,1.0.2
crypto-random-string,MIT,http://www.opensource.org/licenses/MIT,npm,crypto-random-string:1.0.0,npm://crypto-random-string,1.0.0
jade,MIT,http://www.opensource.org/licenses/MIT,npm,jade:0.26.3,npm://jade,0.26.3
deep-equal,MIT,http://www.opensource.org/licenses/MIT,npm,deep-equal:2.1.0,npm://deep-equal,2.1.0
is-buffer,MIT,http://www.opensource.org/licenses/MIT,npm,is-buffer:1.1.6,npm://is-buffer,1.1.6
slide,ISC,http://www.opensource.org/licenses/ISC,npm,slide:1.1.6,npm://slide,1.1.6
winston,MIT,http://www.opensource.org/licenses/MIT,npm,winston:0.8.0,npm://winston,0.8.0
yauzl,MIT,http://www.opensource.org/licenses/MIT,npm,yauzl:2.4.1,npm://yauzl,2.4.1
fragment-cache,MIT,http://www.opensource.org/licenses/MIT,npm,fragment-cache:0.2.1,npm://fragment-cache,0.2.1
globule,MIT,http://www.opensource.org/licenses/MIT,npm,globule:1.3.4,npm://globule,1.3.4
is-number,MIT,http://www.opensource.org/licenses/MIT,npm,is-number:7.0.0,npm://is-number,7.0.0
mime-types,MIT,http://www.opensource.org/licenses/MIT,npm,mime-types:2.1.35,npm://mime-types,2.1.35
@types/lodash,MIT,http://www.opensource.org/licenses/MIT,npm,@types/lodash:4.14.149,npm://@types/lodash,4.14.149
body-parser,MIT,http://www.opensource.org/licenses/MIT,npm,body-parser:1.20.1,npm://body-parser,1.20.1
helmet-csp,MIT,http://www.opensource.org/licenses/MIT,npm,helmet-csp:1.2.2,npm://helmet-csp,1.2.2
minimatch,ISC,http://www.opensource.org/licenses/ISC,npm,minimatch:3.0.2,npm://minimatch,3.0.2
needle,MIT,http://www.opensource.org/licenses/MIT,npm,needle:2.2.4,npm://needle,2.2.4
spdx-license-ids,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,npm,spdx-license-ids:3.0.12,npm://spdx-license-ids,3.0.12
imurmurhash,MIT,http://www.opensource.org/licenses/MIT,npm,imurmurhash:0.1.4,npm://imurmurhash,0.1.4
isexe,ISC,http://www.opensource.org/licenses/ISC,npm,isexe:1.1.2,npm://isexe,1.1.2
signal-exit,ISC,http://www.opensource.org/licenses/ISC,npm,signal-exit:2.1.2,npm://signal-exit,2.1.2
underscore,MIT,http://www.opensource.org/licenses/MIT,npm,underscore:1.3.3,npm://underscore,1.3.3
getobject,Unknown,,npm,getobject:1.0.2,npm://getobject,1.0.2
aws4,MIT,http://www.opensource.org/licenses/MIT,npm,aws4:1.11.0,npm://aws4,1.11.0
consolidate,MIT,http://www.opensource.org/licenses/MIT,npm,consolidate:0.14.5,npm://consolidate,0.14.5
generate-function,MIT,http://www.opensource.org/licenses/MIT,npm,generate-function:2.0.0,npm://generate-function,2.0.0
grunt-legacy-log,MIT,http://www.opensource.org/licenses/MIT,npm,grunt-legacy-log:3.0.0,npm://grunt-legacy-log,3.0.0
util-deprecate,MIT,http://www.opensource.org/licenses/MIT,npm,util-deprecate:1.0.2,npm://util-deprecate,1.0.2
normalize-path,MIT,http://www.opensource.org/licenses/MIT,npm,normalize-path:3.0.0,npm://normalize-path,3.0.0
object.map,MIT,http://www.opensource.org/licenses/MIT,npm,object.map:1.0.1,npm://object.map,1.0.1
object.omit,MIT,http://www.opensource.org/licenses/MIT,npm,object.omit:2.0.0,npm://object.omit,2.0.0
are-we-there-yet,ISC,http://www.opensource.org/licenses/ISC,npm,are-we-there-yet:1.1.2,npm://are-we-there-yet,1.1.2
babel-types,MIT,http://www.opensource.org/licenses/MIT,npm,babel-types:6.11.1,npm://babel-types,6.11.1
core-js,MIT,http://www.opensource.org/licenses/MIT,npm,core-js:2.4.1,npm://core-js,2.4.1
fill-range,MIT,http://www.opensource.org/licenses/MIT,npm,fill-range:4.0.0,npm://fill-range,4.0.0
micromatch,MIT,http://www.opensource.org/licenses/MIT,npm,micromatch:3.1.10,npm://micromatch,3.1.10
spdx-expression-parse,MIT,http://www.opensource.org/licenses/MIT,npm,spdx-expression-parse:3.0.1,npm://spdx-expression-parse,3.0.1
verror,MIT,http://www.opensource.org/licenses/MIT,npm,verror:1.10.0,npm://verror,1.10.0
minimist,MIT,http://www.opensource.org/licenses/MIT,npm,minimist:0.0.10,npm://minimist,0.0.10
mute-stream,ISC,http://www.opensource.org/licenses/ISC,npm,mute-stream:0.0.8,npm://mute-stream,0.0.8
continuable-cache,MIT,http://www.opensource.org/licenses/MIT,npm,continuable-cache:0.3.1,npm://continuable-cache,0.3.1
csrf,MIT,http://www.opensource.org/licenses/MIT,npm,csrf:3.1.0,npm://csrf,3.1.0
detect-indent,MIT,http://www.opensource.org/licenses/MIT,npm,detect-indent:3.0.1,npm://detect-indent,3.0.1
es6-symbol,MIT,http://www.opensource.org/licenses/MIT,npm,es6-symbol:3.1.0,npm://es6-symbol,3.1.0
liftup,MIT,http://www.opensource.org/licenses/MIT,npm,liftup:3.0.1,npm://liftup,3.0.1
has-flag,MIT,http://www.opensource.org/licenses/MIT,npm,has-flag:1.0.0,npm://has-flag,1.0.0
is-glob,MIT,http://www.opensource.org/licenses/MIT,npm,is-glob:3.1.0,npm://is-glob,3.1.0
parseurl,MIT,http://www.opensource.org/licenses/MIT,npm,parseurl:1.3.3,npm://parseurl,1.3.3
nopt,ISC,http://www.opensource.org/licenses/ISC,npm,nopt:3.0.6,npm://nopt,3.0.6
toidentifier,MIT,http://www.opensource.org/licenses/MIT,npm,toidentifier:1.0.0,npm://toidentifier,1.0.0
asn1,MIT,http://www.opensource.org/licenses/MIT,npm,asn1:0.2.6,npm://asn1,0.2.6
colors,MIT,http://www.opensource.org/licenses/MIT,npm,colors:1.1.2,npm://colors,1.1.2
common-tags,MIT,http://www.opensource.org/licenses/MIT,npm,common-tags:1.8.0,npm://common-tags,1.8.0
component-emitter,MIT,http://www.opensource.org/licenses/MIT,npm,component-emitter:1.3.0,npm://component-emitter,1.3.0
@my-scope/package-b,MIT,http://www.opensource.org/licenses/MIT,npm,@my-scope/package-b:0.0.0,npm://@my-scope/package-b,0.0.0
static-extend,MIT,http://www.opensource.org/licenses/MIT,npm,static-extend:0.1.2,npm://static-extend,0.1.2
asap,MIT,http://www.opensource.org/licenses/MIT,npm,asap:2.0.6,npm://asap,2.0.6
grunt-contrib-watch,MIT,http://www.opensource.org/licenses/MIT,npm,grunt-contrib-watch:1.1.0,npm://grunt-contrib-watch,1.1.0
lodash._baseindexof,MIT,http://www.opensource.org/licenses/MIT,npm,lodash._baseindexof:3.1.0,npm://lodash._baseindexof,3.1.0
node-gyp,"BSD-3-Clause,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/MIT",npm,node-gyp:3.4.0,npm://node-gyp,3.4.0
optimist,"MIT,MIT/X11",http://www.opensource.org/licenses/MIT,npm,optimist:0.2.8,npm://optimist,0.2.8
get-value,MIT,http://www.opensource.org/licenses/MIT,npm,get-value:2.0.6,npm://get-value,2.0.6
source-map-resolve,MIT,http://www.opensource.org/licenses/MIT,npm,source-map-resolve:0.5.3,npm://source-map-resolve,0.5.3
@types/bluebird,MIT,http://www.opensource.org/licenses/MIT,npm,@types/bluebird:3.5.29,npm://@types/bluebird,3.5.29
wcwidth,MIT,http://www.opensource.org/licenses/MIT,npm,wcwidth:1.0.0,npm://wcwidth,1.0.0
deep-equal,MIT,http://www.opensource.org/licenses/MIT,npm,deep-equal:0.2.2,npm://deep-equal,0.2.2
expand-brackets,MIT,http://www.opensource.org/licenses/MIT,npm,expand-brackets:0.1.5,npm://expand-brackets,0.1.5
is-symbol,MIT,http://www.opensource.org/licenses/MIT,npm,is-symbol:1.0.4,npm://is-symbol,1.0.4
tunnel-agent,Apache-2.0,http://licenses.nuget.org/Apache-2.0,npm,tunnel-agent:0.4.3,npm://tunnel-agent,0.4.3
bcrypt-pbkdf,BSD-4-Clause,http://directory.fsf.org/wiki/License:BSD_4Clause,npm,bcrypt-pbkdf:1.0.0,npm://bcrypt-pbkdf,1.0.0
debug,MIT,http://www.opensource.org/licenses/MIT,npm,debug:2.2.0,npm://debug,2.2.0
global-modules,MIT,http://www.opensource.org/licenses/MIT,npm,global-modules:1.0.0,npm://global-modules,1.0.0
tmatch,ISC,http://www.opensource.org/licenses/ISC,npm,tmatch:2.0.1,npm://tmatch,2.0.1
cross-spawn,MIT,http://www.opensource.org/licenses/MIT,npm,cross-spawn:7.0.3,npm://cross-spawn,7.0.3
encodeurl,MIT,http://www.opensource.org/licenses/MIT,npm,encodeurl:1.0.2,npm://encodeurl,1.0.2
hawk,"BSD,BSD-3-Clause","http://directory.fsf.org/wiki/License:BSD_4Clause,http://opensource.org/licenses/BSD-3-Clause",npm,hawk:1.0.0,npm://hawk,1.0.0
is-descriptor,MIT,http://www.opensource.org/licenses/MIT,npm,is-descriptor:1.0.2,npm://is-descriptor,1.0.2
window-size,MIT,http://www.opensource.org/licenses/MIT,npm,window-size:0.1.4,npm://window-size,0.1.4
