Summary,Severity,Type,Watch-Name,Violated Resources,Component,Created,policy
"Versions of the npm CLI prior to 6.14.6 are vulnerable to an information exposure vulnerability through log files. The CLI supports URLs like ""<protocol>://[<user>[:<password>]@]<hostname>[:<port>][:][/]<path>"". The password value is not redacted and is printed to stdout and also to any generated log files.",Medium,security,everything,all-repos,npm://npm:3.10.10,2022-12-28T16:04:02-05:00,1 | Security-All
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,High,security,everything,all-repos,npm://lodash:4.17.19,2022-12-28T16:04:03-05:00,1 | Security-All
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,High,security,everything,all-repos,npm://lodash:4.17.15,2022-12-28T16:04:03-05:00,1 | Security-All
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,High,security,everything,all-repos,npm://lodash:4.13.1,2022-12-28T16:04:03-05:00,1 | Security-All
Prototype pollution attack when using _.zipObjectDeep in lodash before 4.17.20.,High,security,everything,all-repos,npm://lodash:2.4.2,2022-12-28T16:04:03-05:00,1 | Security-All
is-my-json-valid Package for Node.js index.js formatName() Function Schema Handling Arbitrary Code Execution,High,security,everything,all-repos,npm://is-my-json-valid:2.15.0,2022-12-28T16:04:03-05:00,1 | Security-All
is-my-json-valid Package for Node.js formats.js JSON Field style Format Improper Regular Expression DoS,Medium,security,everything,all-repos,npm://is-my-json-valid:2.15.0,2022-12-28T16:04:03-05:00,1 | Security-All
Lodash Package for Node.js lodash.js baseSet() Function Prototype Pollution DoS,High,security,everything,all-repos,npm://lodash:4.17.15,2022-12-28T16:04:03-05:00,1 | Security-All
Lodash Package for Node.js lodash.js baseSet() Function Prototype Pollution DoS,High,security,everything,all-repos,npm://lodash:4.13.1,2022-12-28T16:04:03-05:00,1 | Security-All
"A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1, <2.2.1, and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",Medium,security,everything,all-repos,npm://bl:1.1.2,2022-12-28T16:04:02-05:00,1 | Security-All
"A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1, <2.2.1, and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",Medium,security,everything,all-repos,npm://bl:1.0.3,2022-12-28T16:04:02-05:00,1 | Security-All
A TOCTOU issue in the chownr package before 1.1.0 for Node.js 10.10 could allow a local attacker to trick it into descending into unintended directories via symlink attacks.,Low,security,everything,all-repos,npm://chownr:1.0.1,2022-12-28T16:04:02-05:00,1 | Security-All
Handlebars before 4.4.5 allows Regular Expression Denial of Service (ReDoS) because of eager matching. The parser may be forced into an endless loop while processing crafted templates. This may allow attackers to exhaust system resources.,High,security,everything,all-repos,npm://handlebars:4.0.5,2022-12-28T16:04:03-05:00,1 | Security-All
"Handlebars before 3.0.8 and 4.x before 4.5.3 is vulnerable to Arbitrary Code Execution. The lookup helper fails to properly validate templates, allowing attackers to submit templates that execute arbitrary JavaScript. This can be used to run arbitrary code on a server processing Handlebars templates or in a victim's browser (effectively serving as XSS).",High,security,everything,all-repos,npm://handlebars:4.0.5,2022-12-28T16:04:02-05:00,1 | Security-All
This affects the package npm-user-validate before 1.0.1. The regex that validates user emails took exponentially longer to process long input strings beginning with @ characters.,High,security,everything,all-repos,npm://npm-user-validate:0.1.5,2022-12-28T16:04:01-05:00,1 | Security-All
"The package y18n before 3.2.2, 4.0.1 and 5.0.5, is vulnerable to Prototype Pollution.",Critical,security,everything,all-repos,npm://y18n:3.2.1,2022-12-28T16:04:03-05:00,1 | Security-All
Versions less than 0.0.6 of the Node.js stringstream module are vulnerable to an out-of-bounds read because of allocation of uninitialized buffers when a number is passed in the input stream (when using Node.js 4.x).,Medium,security,everything,all-repos,npm://stringstream:0.0.5,2022-12-28T16:04:03-05:00,1 | Security-All
"This affects the package ini before 1.3.6. If an attacker submits a malicious INI file to an application that parses it with ini.parse, they will pollute the prototype on the application. This can be exploited further depending on the context.",Critical,security,everything,all-repos,npm://ini:1.3.4,2022-12-28T16:04:02-05:00,1 | Security-All
"Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.",Medium,security,everything,all-repos,npm://lodash:4.13.1,2022-12-28T16:04:02-05:00,1 | Security-All
"Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.",Medium,security,everything,all-repos,npm://lodash:2.4.2,2022-12-28T16:04:02-05:00,1 | Security-All
"Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.",Medium,security,everything,all-repos,npm://lodash:4.17.19,2022-12-28T16:04:02-05:00,1 | Security-All
"Lodash versions prior to 4.17.21 are vulnerable to Regular Expression Denial of Service (ReDoS) via the toNumber, trim and trimEnd functions.",Medium,security,everything,all-repos,npm://lodash:4.17.15,2022-12-28T16:04:02-05:00,1 | Security-All
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,High,security,everything,all-repos,npm://lodash:4.17.19,2022-12-28T16:04:02-05:00,1 | Security-All
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,High,security,everything,all-repos,npm://lodash:4.17.15,2022-12-28T16:04:02-05:00,1 | Security-All
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,High,security,everything,all-repos,npm://lodash:4.13.1,2022-12-28T16:04:02-05:00,1 | Security-All
Lodash versions prior to 4.17.21 are vulnerable to Command Injection via the template function.,High,security,everything,all-repos,npm://lodash:2.4.2,2022-12-28T16:04:02-05:00,1 | Security-All
The package hosted-git-info before 3.0.8 are vulnerable to Regular Expression Denial of Service (ReDoS) via regular expression shortcutMatch in the fromUrl function in index.js. The affected regular expression exhibits polynomial worst-case time complexity.,Medium,security,everything,all-repos,npm://hosted-git-info:2.1.5,2022-12-28T16:04:03-05:00,1 | Security-All
