Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Component
"This affects the package ini before 1.3.6. If an attacker submits a malicious INI file to an application that parses it with ini.parse, they will pollute the prototype on the application. This can be exploited further depending on the context.",CVE-2020-7788,Critical,security,JFrog,ini,< 1.3.6,1.3.6,2023-02-01T21:17:28-05:00,ini,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-129933,FALSE,npm://ini:1.3.4,ini:1.3.4
minimist Package for Node.js --__proto__.y=Polluted Argument Handling Prototype Pollution Remote Property Manipulation,,Critical,security,JFrog,minimist,"< 0.2.1,1.0.0 ≤ Version < 1.2.3","0.2.1,1.2.3",2022-02-15T09:01:31-05:00,minimist,,,,XRAY-95632,FALSE,npm://minimist:0.0.10,minimist:0.0.10
minimist Package for Node.js --__proto__.y=Polluted Argument Handling Prototype Pollution Remote Property Manipulation,,Critical,security,JFrog,minimist,"< 0.2.1,1.0.0 ≤ Version < 1.2.3","0.2.1,1.2.3",2022-02-15T09:01:31-05:00,minimist,,,,XRAY-95632,FALSE,npm://minimist:1.2.0,minimist:1.2.0
"Growl adds growl notification support to nodejs. Growl before 1.10.2 does not properly sanitize input before passing it to exec, allowing for arbitrary command execution.",CVE-2017-16042,Critical,security,JFrog,growl,< 1.10.0,1.10.0,2023-02-01T21:15:22-05:00,growl,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-72713,FALSE,npm://growl:1.9.2,growl:1.9.2
"The ejs (aka Embedded JavaScript templates) package 3.1.6 for Node.js allows server-side template injection in settings[view options][outputFunctionName]. This is parsed as an internal option, and overwrites the outputFunctionName option with an arbitrary OS command (which is executed upon template compilation).",CVE-2022-29078,Critical,security,JFrog,ejs,< 3.1.7,3.1.7,2023-02-01T21:15:22-05:00,ejs,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-74,XRAY-209002,FALSE,npm://ejs:0.4.3,ejs:0.4.3
minimist Package for Node.js --__proto__.y=Polluted Argument Handling Prototype Pollution Remote Property Manipulation,,Critical,security,JFrog,minimist,"< 0.2.1,1.0.0 ≤ Version < 1.2.3","0.2.1,1.2.3",2022-02-15T09:01:31-05:00,minimist,,,,XRAY-95632,FALSE,npm://minimist:0.0.8,minimist:0.0.8
Eran Hammer cryptiles version 4.1.1 earlier contains a CWE-331: Insufficient Entropy vulnerability in randomDigits() method that can result in An attacker is more likely to be able to brute force something that was supposed to be random.. This attack appear to be exploitable via Depends upon the calling application.. This vulnerability appears to have been fixed in 4.1.2.,CVE-2018-1000620,Critical,security,JFrog,cryptiles,< 4.1.2,4.1.2,2023-02-01T21:17:13-05:00,cryptiles,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,9.8/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-331,XRAY-84448,FALSE,npm://cryptiles:2.0.5,cryptiles:2.0.5
Eran Hammer cryptiles version 4.1.1 earlier contains a CWE-331: Insufficient Entropy vulnerability in randomDigits() method that can result in An attacker is more likely to be able to brute force something that was supposed to be random.. This attack appear to be exploitable via Depends upon the calling application.. This vulnerability appears to have been fixed in 4.1.2.,CVE-2018-1000620,Critical,security,JFrog,cryptiles,< 4.1.2,4.1.2,2023-02-01T21:17:13-05:00,cryptiles,5.0/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:N,9.8/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-331,XRAY-84448,FALSE,npm://cryptiles:0.2.2,cryptiles:0.2.2
The package handlebars before 4.7.7 are vulnerable to Prototype Pollution when selecting certain compiling options to compile templates coming from an untrusted source.,CVE-2021-23383,Critical,security,JFrog,handlebars,< 4.7.7,4.7.7,2023-02-01T21:15:42-05:00,handlebars,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-1321,XRAY-175498,FALSE,npm://handlebars:4.0.5,handlebars:4.0.5
nodejs ejs versions older than 2.5.3 is vulnerable to remote code execution due to weak input validation in ejs.renderFile() function,CVE-2017-1000228,Critical,security,JFrog,ejs,< 2.5.5,2.5.5,2023-02-01T21:15:22-05:00,ejs,10.0/CVSS:2.0/AV:N/AC:L/Au:N/C:C/I:C/A:C,9.8/CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-20,XRAY-73289,FALSE,npm://ejs:0.4.3,ejs:0.4.3
