Summary,CVEs,Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id
"Those using java.sql.Statement or java.sql.PreparedStatement in hsqldb (HyperSQL DataBase) to process untrusted input may be vulnerable to a remote code execution attack. By default it is allowed to call any static method of any Java class in the classpath resulting in code execution. The issue can be prevented by updating to 2.7.1 or by setting the system property ""hsqldb.method_class_names"" to classes which are allowed to be called. For example, System.setProperty(""hsqldb.method_class_names"", ""abc"") or Java argument -Dhsqldb.method_class_names=""abc"" can be used. From version 2.7.1 all classes by default are not accessible except those in java.lang.Math and need to be manually enabled.",CVE-2022-41853,Critical,security,JFrog,org.hsqldb:hsqldb,< 2.7.1,2.7.1,2023-02-01T21:15:50-05:00,org.hsqldb:hsqldb,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NVD-CWE-noinfo,XRAY-256683,FALSE,gav://org.hsqldb:hsqldb:2.5.2,gav://org.hsqldb:hsqldb
"Xstream API versions up to 1.4.6 and version 1.4.10, if the security framework has not been initialized, may allow a remote attacker to run arbitrary shell commands by manipulating the processed input stream when unmarshaling XML or any supported format. e.g. JSON.",CVE-2013-7285,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.6,1.4.6,2023-02-01T21:16:13-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-60282,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization.,CVE-2022-1471,Critical,security,JFrog,org.yaml:snakeyaml,≤ 1.33,,2023-01-06T21:14:13-05:00,org.yaml:snakeyaml,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,XRAY-262821,FALSE,gav://org.yaml:snakeyaml:1.28,gav://org.yaml:snakeyaml
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21346,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-157673,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21347,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-157672,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability which may allow a remote attacker to execute arbitrary code only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21350,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:17:28-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-157669,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
SnakeYaml's Constructor() class does not restrict types which can be instantiated during deserialization. Deserializing yaml content provided by an attacker can lead to remote code execution. We recommend using SnakeYaml's SafeConsturctor when parsing untrusted content to restrict deserialization.,CVE-2022-1471,Critical,security,JFrog,org.yaml:snakeyaml,≤ 1.33,,2023-01-06T21:14:13-05:00,org.yaml:snakeyaml,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,XRAY-262821,FALSE,gav://org.yaml:snakeyaml:1.30,gav://org.yaml:snakeyaml
"XStream is a Java library to serialize objects to XML and back again. In XStream before version 1.4.16, there is a vulnerability may allow a remote attacker to load and execute arbitrary code from a remote host only by manipulating the processed input stream. No user is affected, who followed the recommendation to setup XStream's security framework with a whitelist limited to the minimal required types. If you rely on XStream's default blacklist of the Security Framework, you will have to use at least version 1.4.16.",CVE-2021-21351,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.16,1.4.16,2023-02-01T21:15:58-05:00,com.thoughtworks.xstream:xstream,6.5/CVSS:2.0/AV:N/AC:L/Au:S/C:P/I:P/A:P,9.1/CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,"CWE-434,CWE-502",XRAY-157668,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"It was found that xstream API version 1.4.10 before 1.4.11 introduced a regression for a previous deserialization flaw. If the security framework has not been initialized, it may allow a remote attacker to run arbitrary shell commands when unmarshalling XML or any supported format. e.g. JSON. (regression of CVE-2013-7285)",CVE-2019-10173,Critical,security,JFrog,com.thoughtworks.xstream:xstream,< 1.4.11,1.4.11,2023-02-01T21:17:13-05:00,com.thoughtworks.xstream:xstream,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-94,XRAY-85269,FALSE,gav://com.thoughtworks.xstream:xstream:1.4.5,gav://com.thoughtworks.xstream:xstream
"Pivotal Spring Framework through 5.3.16 suffers from a potential remote code execution (RCE) issue if used for Java deserialization of untrusted data. Depending on how the library is implemented within a product, this issue may or not occur, and authentication may be required. NOTE: the vendor's position is that untrusted data is not an intended use case. The product's behavior will not be changed because some users rely on deserialization of trusted data.",CVE-2016-1000027,Critical,security,JFrog,org.springframework:spring-web,< 6.0.0,6.0.0,2023-01-09T21:14:41-05:00,org.springframework:spring-web,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,XRAY-125778,FALSE,gav://org.springframework:spring-web:5.3.21,gav://org.springframework:spring-web
