Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
jakarta.websocket:jakarta.websocket-api,"EPL-1.0,EPL-2.0,GPL-2.0,GPL-2.0-with-classpath-exception,LGPL-2.0","http://www.eclipse.org/legal/epl-v10.html,https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/software/classpath/license.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",maven,jakarta.websocket:jakarta.websocket-api:1.1.2,gav://jakarta.websocket:jakarta.websocket-api,1.1.2
tomcat-embed-el-9.0.64.jar,Apache-2.0,http://licenses.nuget.org/Apache-2.0,generic,tomcat-embed-el-9.0.64.jar,generic://sha256:eb2bfcc9d8b82724f2b8d2fd54cc4f215d3ff8b3eb907a042d9a324c1a81887b/tomcat-embed-el-9.0.64.jar,
jakarta.annotation:jakarta.annotation-api,"EPL-1.0,EPL-2.0,GPL-2.0,GPL-2.0+CE,LGPL-2.0","http://www.eclipse.org/legal/epl-v10.html,https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/software/classpath/license.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",maven,jakarta.annotation:jakarta.annotation-api:1.3.5,gav://jakarta.annotation:jakarta.annotation-api,1.3.5
com.github.jnr:jnr-posix,"EPL-1.0,GPL-2.0,GPL-2.0-only,LGPL-2.0,LGPL-2.1-only","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,com.github.jnr:jnr-posix:3.1.15,gav://com.github.jnr:jnr-posix,3.1.15
org.springframework.security:spring-security-crypto,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-crypto:5.7.2,gav://org.springframework.security:spring-security-crypto,5.7.2
org.springframework:spring-web,"Apache-2.0,BSD-4-Clause","http://licenses.nuget.org/Apache-2.0,http://directory.fsf.org/wiki/License:BSD_4Clause",maven,org.springframework:spring-web:5.3.21,gav://org.springframework:spring-web,5.3.21
data.tar.gz,Ruby,http://www.ruby-lang.org/en/LICENSE.txt,generic,data.tar.gz,generic://sha256:be70b1db775b562d54aa4e24fec9fbc607f13604850dde5064232163dc6c2992/data.tar.gz,
concurrent_ruby.jar,Unknown,,generic,concurrent_ruby.jar,generic://sha256:7c35aee1609b885f760688733eaa5f4d53f2ef68558f7b19edd6a7179b5e381f/concurrent_ruby.jar,
com.fasterxml:classmate,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml:classmate:1.5.1,gav://com.fasterxml:classmate,1.5.1
com.github.jnr:jnr-enxio,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.github.jnr:jnr-enxio:0.32.13,gav://com.github.jnr:jnr-enxio,0.32.13
org.bouncycastle:bcprov-jdk15on,Bouncy-Castle,http://www.bouncycastle.org/licence.html,maven,org.bouncycastle:bcprov-jdk15on:1.68,gav://org.bouncycastle:bcprov-jdk15on,1.68
org.slf4j:jul-to-slf4j,MIT,http://www.opensource.org/licenses/MIT,maven,org.slf4j:jul-to-slf4j:1.7.36,gav://org.slf4j:jul-to-slf4j,1.7.36
org.wildfly.common:wildfly-common,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.wildfly.common:wildfly-common:1.5.4.Final,gav://org.wildfly.common:wildfly-common,1.5.4.Final
components-bootstrap,MIT,http://www.opensource.org/licenses/MIT,npm,components-bootstrap:3.3.7,npm://components-bootstrap,3.3.7
did_you_mean,MIT,http://www.opensource.org/licenses/MIT,rubygems,did_you_mean:1.3.0,rubygems://did_you_mean,1.3.0
com.fasterxml.jackson.module:jackson-module-parameter-names,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.module:jackson-module-parameter-names:2.13.3,gav://com.fasterxml.jackson.module:jackson-module-parameter-names,2.13.3
