Competitor Component Name (1890),Competitor CVEs,Confidence,Sonatype Component Name (3279),Sonatype CVEs,Sonatype Occurence Path
client-side-row-model:28.2.1,,10,@ag-grid-community/client-side-row-model:28.2.1,,sonatype-build.spdx.json/pkg:npm\%40ag-grid-community\client-side-row-model@28.2.1
core:28.2.1,,10,@ag-grid-community/core:28.2.1,CVE-2024-38996,sonatype-build.spdx.json/pkg:npm\%40ag-grid-community\core@28.2.1
remapping:2.3.0,,10,@ampproject/remapping:2.3.0,,sonatype-build.spdx.json/pkg:npm\%40ampproject\remapping@2.3.0
code-frame:7.24.7,,10,@babel/code-frame:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\code-frame@7.24.7
compat-data:7.25.4,,10,@babel/compat-data:7.25.4,,sonatype-build.spdx.json/pkg:npm\%40babel\compat-data@7.25.4
core:7.25.2,,10,@babel/core:7.25.2,,sonatype-build.spdx.json/pkg:npm\%40babel\core@7.25.2
generator:7.25.5,,10,@babel/generator:7.25.5,,sonatype-build.spdx.json/pkg:npm\%40babel\generator@7.25.5
helper-compilation-targets:7.25.2,,10,@babel/helper-compilation-targets:7.25.2,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-compilation-targets@7.25.2
helper-module-imports:7.24.7,,10,@babel/helper-module-imports:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-module-imports@7.24.7
helper-module-transforms:7.25.2,,10,@babel/helper-module-transforms:7.25.2,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-module-transforms@7.25.2
helper-plugin-utils:7.24.8,,10,@babel/helper-plugin-utils:7.24.8,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-plugin-utils@7.24.8
helper-simple-access:7.24.7,,10,@babel/helper-simple-access:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-simple-access@7.24.7
helper-string-parser:7.24.8,,10,@babel/helper-string-parser:7.24.8,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-string-parser@7.24.8
helper-validator-identifier:7.24.7,,10,@babel/helper-validator-identifier:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-validator-identifier@7.24.7
helper-validator-option:7.24.8,,10,@babel/helper-validator-option:7.24.8,,sonatype-build.spdx.json/pkg:npm\%40babel\helper-validator-option@7.24.8
helpers:7.25.0,,10,@babel/helpers:7.25.0,,sonatype-build.spdx.json/pkg:npm\%40babel\helpers@7.25.0
highlight:7.24.7,,10,@babel/highlight:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\highlight@7.24.7
parser:7.25.4,,10,@babel/parser:7.25.4,,sonatype-build.spdx.json/pkg:npm\%40babel\parser@7.25.4
plugin-syntax-async-generators:7.8.4,,10,@babel/plugin-syntax-async-generators:7.8.4,,sonatype-build.spdx.json/pkg:npm\%40babel\plugin-syntax-async-generators@7.8.4
plugin-syntax-bigint:7.8.3,,10,@babel/plugin-syntax-bigint:7.8.3,,sonatype-build.spdx.json/pkg:npm\%40babel\plugin-syntax-bigint@7.8.3
plugin-syntax-class-properties:7.12.13,,10,@babel/plugin-syntax-class-properties:7.12.13,,sonatype-build.spdx.json/pkg:npm\%40babel\plugin-syntax-class-properties@7.12.13
plugin-syntax-class-static-block:7.14.5,,10,@babel/plugin-syntax-class-static-block:7.14.5,,sonatype-build.spdx.json/pkg:npm\%40babel\plugin-syntax-class-static-block@7.14.5
plugin-syntax-import-attributes:7.24.7,,10,@babel/plugin-syntax-import-attributes:7.24.7,,sonatype-build.spdx.json/pkg:npm\%40babel\plugin-syntax-import-attributes@7.24.7
