CVEs,Components,Source File,Organization,Product,Project,Severity,CVSS,CVSS Type,Status,Library Type,Creation Date,Modified Date,Top Fix,Changed Status - Comment,Changed Status  - User
CVE-2021-45078,binutils_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version binutils - 2.37.50.20220106-1
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2021-45078",,
CVE-2009-1214,screen_4.8.0-1ubuntu0.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,6.2,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,,,
CVE-2021-41617,openssh-server_8.2p1-4ubuntu0.5_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.0,CVSS_3,Active,Debian,2023-03-07 00:52:57.0,2023-03-07 00:52:57.0,"Upgrade to version V_8_8_P1
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-41617",,
CVE-2016-1585,libapparmor1_2.13.3-7ubuntu5.1_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),CRITICAL,9.8,CVSS_3,Active,Debian,2023-03-07 00:52:57.0,2023-03-07 00:52:57.0,,,
CVE-2022-1733,vim_8.1.2269-1ubuntu5.9_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4968
Message: Upgrade to version
Details: https://huntr.dev/bounties/6ff03b27-472b-4bef-a2bf-410fae65ff0a/",,
CVE-2022-1898,vim-runtime_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version v8.2.5024
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-1898",,
CVE-2022-0361,vim-runtime_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:54.0,2023-03-07 00:52:54.0,"Upgrade to version v8.2.4215
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0361",,
CVE-2019-1010204,binutils_2.34-6ubuntu1.3_amd64.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),MEDIUM,5.5,CVSS_3,Active,Debian,2023-03-07 00:52:55.0,2023-03-07 00:52:55.0,"Upgrade to version binutils - 2.30-73,2.30-73,2.30-73,2.30-73,2.30-73;binutils-debugsource - 2.30-73,2.30-73;binutils-devel - 2.30-73,2.30-73,2.30-73,2.30-73,2.30-73;binutils-debuginfo - 2.30-73,2.30-73
Message: Upgrade to version
Details: https://nvd.nist.gov/vuln/detail/CVE-2019-1010204",,
CVE-2022-1898,vim-common_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.5024
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-1898",,
CVE-2022-0361,vim-common_8.1.2269-1ubuntu5.9_all.deb,,TuSimple.ai,zeyuan-scans,registry.tusimple.ai/base 20.04 (826aaa9e5c07),HIGH,7.8,CVSS_3,Active,Debian,2023-03-07 00:52:56.0,2023-03-07 00:52:56.0,"Upgrade to version v8.2.4215
Message: Upgrade to version
Details: https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-0361",,
