Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
moment-timezone-0.5.34.tgz,"WS-2022-0280, WS-2022-0284",2 - WRONG VERSION,@fullcalendar/moment-timezone:5.11.3,,Tusimple-bom.xml/pkg:npm\%40fullcalendar\moment-timezone@5.11.3:6ff24cf64be5981837c6
certifi-2022.9.24-py3-none-any.whl,CVE-2022-23491,WRONG VERSION,,,
lodash-4.17.20.tgz,"CVE-2021-23337, CVE-2020-28500",CORRECT. We also found this.,,,
moment-2.29.1.tgz,"CVE-2022-31129, CVE-2022-24785",CORRECT. We also found this.,,,
,,,@ant-design/colors:3.2.2,,Tusimple-bom.xml/pkg:npm\%40ant-design\colors@3.2.2:5ad43d619e911f3488eb
,,,@ant-design/icons-svg:4.2.1,,Tusimple-bom.xml/pkg:npm\%40ant-design\icons-svg@4.2.1:8630da8eb4471a4aabda
,,,@ant-design/icons-vue:4.0.6,,Tusimple-bom.xml/pkg:npm\%40ant-design\icons-vue@4.0.6:d0c83782e403915928e3
,,,@babel/runtime:7.12.5,,Tusimple-bom.xml/pkg:npm\%40babel\runtime@7.12.5:410e7e487441e1b360c2
,,,@fontsource/blinker:4.5.1,,Tusimple-bom.xml/pkg:npm\%40fontsource\blinker@4.5.1:8da7dd934ac33b6d9385
,,,@fontsource/roboto:4.5.8,,Tusimple-bom.xml/pkg:npm\%40fontsource\roboto@4.5.8:56347764786079838faf
,,,@fortawesome/fontawesome-common-types:0.2.32,,Tusimple-bom.xml/pkg:npm\%40fortawesome\fontawesome-common-types@0.2.32:3436795d5684f2274298
,,,@fortawesome/fontawesome-svg-core:1.2.32,,Tusimple-bom.xml/pkg:npm\%40fortawesome\fontawesome-svg-core@1.2.32:da092bfc7266aa274be8
,,,@fortawesome/free-brands-svg-icons:5.15.1,,Tusimple-bom.xml/pkg:npm\%40fortawesome\free-brands-svg-icons@5.15.1:1dc0563f4036639e53d2
,,,@fortawesome/free-solid-svg-icons:5.15.1,,Tusimple-bom.xml/pkg:npm\%40fortawesome\free-solid-svg-icons@5.15.1:e1432676ddd43108b411
,,,@fortawesome/vue-fontawesome:0.1.10,,Tusimple-bom.xml/pkg:npm\%40fortawesome\vue-fontawesome@0.1.10:eeeec1e4e8850bed0468
,,,@fullcalendar/common:5.11.3,,Tusimple-bom.xml/pkg:npm\%40fullcalendar\common@5.11.3:6d555a06925b8a6d1556
,,,@fullcalendar/core:5.11.3,,Tusimple-bom.xml/pkg:npm\%40fullcalendar\core@5.11.3:26f276347eb83185e03e
,,,@fullcalendar/daygrid:5.11.3,,Tusimple-bom.xml/pkg:npm\%40fullcalendar\daygrid@5.11.3:6bc1f956c95f84438428
