"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",adm-zip:0.4.4,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?selenium-webdriver:2.53.3/adm-zip:0.4.4,A Javascript implementation of zip for nodejs. Allows user to create or extract zip files both in memory or to/from disk,"","","",pkg:npm/adm-zip@0.4.4,cpe:2.3:a:adm-zip_project:adm-zip:0.4.4:*:*:*:*:*:*:*,1087763,"",Versions of `adm-zip` before 0.4.9 are vulnerable to arbitrary file write when used to extract a specifically crafted archive that contains path traversal filenames (`../../file.txt` for example).   ## Recommendation  Update to version 0.4.9 or later.,NPM,"","","","","","",HIGHEST,9,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",adm-zip:0.4.4,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?selenium-webdriver:2.53.3/adm-zip:0.4.4,A Javascript implementation of zip for nodejs. Allows user to create or extract zip files both in memory or to/from disk,"","","",pkg:npm/adm-zip@0.4.4,cpe:2.3:a:adm-zip_project:adm-zip:0.4.4:*:*:*:*:*:*:*,CVE-2018-1002204,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"adm-zip npm library before 0.4.9 is vulnerable to directory traversal, allowing attackers to write to arbitrary files via a ../ (dot dot slash) in a Zip archive entry that is mishandled during extraction. This vulnerability is also known as 'Zip-Slip'.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,5.5,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,HIGHEST,9,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",async:0.2.10,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/async:0.2.10,Higher-order functions and common patterns for asynchronous code,"","","",pkg:npm/async@0.2.10,cpe:2.3:a:async_project:async:0.2.10:*:*:*:*:*:*:*,CVE-2021-43138,CWE-1321,"In Async before 2.6.4 and 3.x before 3.2.2, a malicious user can obtain privileges via the mapValues() method, aka lib/internal/iterator.js createObjectIterator prototype pollution.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,HIGHEST,7,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",async:2.6.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?async,"","","","",pkg:npm/async@2.6.1,"",CVE-2021-43138,CWE-1321,"In Async before 2.6.4 and 3.x before 3.2.2, a malicious user can obtain privileges via the mapValues() method, aka lib/internal/iterator.js createObjectIterator prototype pollution.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-43138 for details",OSSINDEX,HIGH,7.8,/AV:L/AC:L/Au:/C:H/I:H/A:H,"","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",async:2.6.1,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?async,"","","","",pkg:npm/async@2.6.1,"",1088666,"","A vulnerability exists in Async through 3.2.1 for 3.x and through 2.6.3 for 2.x (fixed in 3.2.2 and 2.6.4), which could let a malicious user obtain privileges via the `mapValues()` method.",NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bl:1.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?request:2.67.0/bl:~1.0.0,"Buffer List: collect buffers and access with a standard readable Buffer interface, streamable too!",MIT,"","",pkg:npm/bl@1.0.3,"",CVE-2020-8244,CWE-125 Out-of-bounds Read,"A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1, <2.2.1, and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",OSSINDEX,MEDIUM,6.5,/AV:N/AC:L/Au:/C:L/I:N/A:L,"","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bl:1.0.3,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?request:2.67.0/bl:~1.0.0,"Buffer List: collect buffers and access with a standard readable Buffer interface, streamable too!",MIT,"","",pkg:npm/bl@1.0.3,"",1090072,"","A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1, <2.2.1, and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",NPM,"","","","","","",HIGHEST,6,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bl:1.1.2,/Users/andrewhaigh/Projects/Git/NodeGoat/package-lock.json?/bl:1.1.2,"Buffer List: collect buffers and access with a standard readable Buffer interface, streamable too!",MIT,"","",pkg:npm/bl@1.1.2,"",CVE-2020-8244,CWE-125 Out-of-bounds Read,"A buffer over-read vulnerability exists in bl <4.0.3, <3.0.1, <2.2.1, and <1.2.3 which could allow an attacker to supply user input (even typed) that if it ends up in consume() argument and can become negative, the BufferList state can be corrupted, tricking it into exposing uninitialized memory via regular .slice() calls.",OSSINDEX,MEDIUM,6.5,/AV:N/AC:L/Au:/C:L/I:N/A:L,"","","",HIGHEST,9,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bootstrap.js,/Users/andrewhaigh/Projects/Git/NodeGoat/app/assets/vendor/bootstrap/bootstrap.js,"","",009474ef7077db3674f18cc37439ef32,56a7790abde2d014778373a57203cc760634fbd6,pkg:javascript/bootstrap@3.0.0,"",CVE-2016-10735,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap 3.x before 3.4.0 and 4.x-beta before 4.0.0-beta.2, XSS is possible in the data-target attribute, a different vulnerability than CVE-2018-14041.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
NodeGoat,"Mon, 6 Mar 2023 18:07:06 -0500",bootstrap.js,/Users/andrewhaigh/Projects/Git/NodeGoat/app/assets/vendor/bootstrap/bootstrap.js,"","",009474ef7077db3674f18cc37439ef32,56a7790abde2d014778373a57203cc760634fbd6,pkg:javascript/bootstrap@3.0.0,"",CVE-2018-14040,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"In Bootstrap before 4.1.2, XSS is possible in the collapse data-parent attribute.",NVD,MEDIUM,4.3,/AV:N/AC:M/Au:N/C:N/I:P/A:N,MEDIUM,6.1,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
