"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2020-8022,CWE-276 Incorrect Default Permissions,"A Incorrect Default Permissions vulnerability in the packaging of tomcat on SUSE Enterprise Storage 5, SUSE Linux Enterprise Server 12-SP2-BCL, SUSE Linux Enterprise Server 12-SP2-LTSS, SUSE Linux Enterprise Server 12-SP3-BCL, SUSE Linux Enterprise Server 12-SP3-LTSS, SUSE Linux Enterprise Server 12-SP4, SUSE Linux Enterprise Server 12-SP5, SUSE Linux Enterprise Server 15-LTSS, SUSE Linux Enterprise Server for SAP 12-SP2, SUSE Linux Enterprise Server for SAP 12-SP3, SUSE Linux Enterprise Server for SAP 15, SUSE OpenStack Cloud 7, SUSE OpenStack Cloud 8, SUSE OpenStack Cloud Crowbar 8 allows local attackers to escalate from group tomcat to root. This issue affects: SUSE Enterprise Storage 5 tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP2-BCL tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP2-LTSS tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP3-BCL tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP3-LTSS tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server 12-SP4 tomcat versions prior to 9.0.35-3.39.1. SUSE Linux Enterprise Server 12-SP5 tomcat versions prior to 9.0.35-3.39.1. SUSE Linux Enterprise Server 15-LTSS tomcat versions prior to 9.0.35-3.57.3. SUSE Linux Enterprise Server for SAP 12-SP2 tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server for SAP 12-SP3 tomcat versions prior to 8.0.53-29.32.1. SUSE Linux Enterprise Server for SAP 15 tomcat versions prior to 9.0.35-3.57.3. SUSE OpenStack Cloud 7 tomcat versions prior to 8.0.53-29.32.1. SUSE OpenStack Cloud 8 tomcat versions prior to 8.0.53-29.32.1. SUSE OpenStack Cloud Crowbar 8 tomcat versions prior to 8.0.53-29.32.1.",NVD,HIGH,7.2,/AV:L/AC:L/Au:N/C:C/I:C/A:C,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2002-0493,CWE-254 7PK - Security Features,"Apache Tomcat may be started without proper security settings if errors are encountered while reading the web.xml file, which could allow attackers to bypass intended restrictions.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2013-2185,CWE-20 Improper Input Validation,"** DISPUTED ** The readObject method in the DiskFileItem class in Apache Tomcat and JBoss Web, as used in Red Hat JBoss Enterprise Application Platform 6.1.0 and Red Hat JBoss Portal 6.0.0, allows remote attackers to write to arbitrary files via a NULL byte in a file name in a serialized instance, a similar issue to CVE-2013-2186.  NOTE: this issue is reportedly disputed by the Apache Tomcat team, although Red Hat considers it a vulnerability. The dispute appears to regard whether it is the responsibility of applications to avoid providing untrusted data to be deserialized, or whether this class should inherently protect against this issue.",NVD,HIGH,7.5,/AV:N/AC:L/Au:N/C:P/I:P/A:P,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2013-4444,CWE-94 Improper Control of Generation of Code ('Code Injection'),"Unrestricted file upload vulnerability in Apache Tomcat 7.x before 7.0.40, in certain situations involving outdated java.io.File code and a custom JMX configuration, allows remote attackers to execute arbitrary code by uploading and accessing a JSP file.",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2013-6357,CWE-352 Cross-Site Request Forgery (CSRF),"** DISPUTED ** Cross-site request forgery (CSRF) vulnerability in the Manager application in Apache Tomcat 5.5.25 and earlier allows remote attackers to hijack the authentication of administrators for requests that manipulate application deployment via the POST method, as demonstrated by a /manager/html/undeploy?path= URI.  NOTE: the vendor disputes the significance of this report, stating that ""the Apache Tomcat Security team has not accepted any reports of CSRF attacks against the Manager application ... as they require a reckless system administrator.""",NVD,MEDIUM,6.8,/AV:N/AC:M/Au:N/C:P/I:P/A:P,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2013-4286,CWE-20 Improper Input Validation,"Apache Tomcat before 6.0.39, 7.x before 7.0.47, and 8.x before 8.0.0-RC3, when an HTTP connector or AJP connector is used, does not properly handle certain inconsistent HTTP request headers, which allows remote attackers to trigger incorrect identification of a request's length and conduct request-smuggling attacks via (1) multiple Content-Length headers or (2) a Content-Length header and a ""Transfer-Encoding: chunked"" header.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2005-2090.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2000-1210,NVD-CWE-Other,Directory traversal vulnerability in source.jsp of Apache Tomcat before 3.1 allows remote attackers to read arbitrary files via a .. (dot dot) in the argument to source.jsp.,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2001-0590,NVD-CWE-Other,Apache Software Foundation Tomcat Servlet prior to 3.2.2 allows a remote attacker to read the source code to arbitrary 'jsp' files via a malformed URL request which does not end with an HTTP protocol specification (i.e. HTTP/1.0).,NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2008-0128,CWE-16 Configuration,"The SingleSignOn Valve (org.apache.catalina.authenticator.SingleSignOn) in Apache Tomcat before 5.5.21 does not set the secure flag for the JSESSIONIDSSO cookie in an https session, which can cause the cookie to be sent in http requests and make it easier for remote attackers to capture this cookie.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:P/I:N/A:N,"","","",HIGH,9,"","","","","","","",""
WebGoat-Legacy,"Fri, 10 Feb 2023 13:01:07 -0500",WebGoat-6.0.1-war-exec.jar (shaded: org.apache.tomcat.maven:tomcat7-war-runner:2.1),/Users/andrewhaigh/Projects/Git/WebGoat-Legacy/target/WebGoat-6.0.1-war-exec.jar/META-INF/maven/org.apache.tomcat.maven/tomcat7-war-runner/pom.xml,"","",c52f16894afe9d901e42bdb8703645c8,fa47aaf40967459dd7c103765068e1488ec797be,pkg:maven/org.apache.tomcat.maven/tomcat7-war-runner@2.1,"cpe:2.3:a:apache:tomcat:2.1:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:2.1:*:*:*:*:*:*:*",CVE-2014-0075,CWE-189 Numeric Errors,"Integer overflow in the parseChunkHeader function in java/org/apache/coyote/http11/filters/ChunkedInputFilter.java in Apache Tomcat before 6.0.40, 7.x before 7.0.53, and 8.x before 8.0.4 allows remote attackers to cause a denial of service (resource consumption) via a malformed chunk size in chunked transfer coding of a request during the streaming of data.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,"","","",HIGH,9,"","","","","","","",""
