Competitor Component Name (29),Competitor CVEs,Confidence,Sonatype Component Name (55),Sonatype CVEs,Sonatype Occurence Path
axis:axis-ant:1.2,"CVE-2020-1945, CVE-2018-8032, CVE-2012-5784, CVE-2014-3596",10,axis:axis-ant:1.2,,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\axis\axis-ant@1.2?type=jar
axis:axis:1.2,"CVE-2019-0227, CVE-2018-8032, CVE-2012-5784, CVE-2014-3596, CVE-2007-2353",10,axis:axis:1.2,"CVE-2007-2353, CVE-2012-5784, CVE-2014-3596, CVE-2019-0227",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\axis\axis@1.2?type=jar
com.fasterxml.jackson.core:jackson-core:2.0.4,CVE-2018-1000873,10,com.fasterxml.jackson.core:jackson-core:2.0.4,"sonatype-2017-0355, sonatype-2022-6438",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\com.fasterxml.jackson.core\jackson-core@2.0.4?type=jar
com.fasterxml.jackson.core:jackson-databind:2.0.4,"CVE-2018-7489, CVE-2017-7525, CVE-2020-10650, CVE-2020-35490, CVE-2020-35491, CVE-2020-36518, CVE-2022-42003, CVE-2022-42004, CVE-2018-1000873",10,com.fasterxml.jackson.core:jackson-databind:2.0.4,"CVE-2017-7525, CVE-2020-36518, CVE-2022-42004, sonatype-2016-0593",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\com.fasterxml.jackson.core\jackson-databind@2.0.4?type=jar
com.h2database:h2:1.4.187,"CVE-2021-42392, CVE-2022-23221, CVE-2022-45868",10,com.h2database:h2:1.4.187,"CVE-2021-42392, CVE-2022-23221, sonatype-2018-0859, sonatype-2018-0863, CVE-2018-14335",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\com.h2database\h2@1.4.187?type=jar
commons-collections:commons-collections:3.1,CVE-2015-6420,10,commons-collections:commons-collections:3.1,sonatype-2015-0002,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\commons-collections\commons-collections@3.1?type=jar
commons-discovery:commons-discovery:0.2,CVE-2022-0869,10,commons-discovery:commons-discovery:0.2,,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\commons-discovery\commons-discovery@0.2?type=jar
commons-fileupload:commons-fileupload:1.2.2,"CVE-2016-1000031, CVE-2013-2186, CVE-2014-0050, CVE-2016-3092, CVE-2013-0248",10,commons-fileupload:commons-fileupload:1.2.2,"CVE-2013-0248, CVE-2013-2186, CVE-2014-0050, CVE-2016-1000031, CVE-2016-3092, CVE-2023-24998, sonatype-2014-0173",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\commons-fileupload\commons-fileupload@1.2.2?type=jar
commons-io:commons-io:1.3.2,CVE-2021-29425,10,commons-io:commons-io:1.3.2,"sonatype-2018-0705, CVE-2021-29425",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\commons-io\commons-io@1.3.2?type=jar
hsqldb:hsqldb:1.8.0.7,CVE-2007-4575,10,hsqldb:hsqldb:1.8.0.7,CVE-2007-4575,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\hsqldb\hsqldb@1.8.0.7?type=jar
javax.servlet:jstl:1.2,CVE-2015-0254,10,javax.servlet:jstl:1.2,CVE-2015-0254,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\javax.servlet\jstl@1.2?type=jar
junit:junit:4.8.1,CVE-2020-15250,10,junit:junit:4.8.1,CVE-2020-15250,fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\junit\junit@4.8.1?type=jar
log4j:log4j:1.2.17,"CVE-2019-17571, CVE-2020-9493, CVE-2022-23305, CVE-2022-23302, CVE-2022-23307, CVE-2021-4104",10,log4j:log4j:1.2.17,"CVE-2019-17571, CVE-2021-4104, CVE-2022-23302, CVE-2022-23305, CVE-2022-23307, sonatype-2010-0053",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\log4j\log4j@1.2.17?type=jar
org.springframework.security:spring-security-config:3.2.4.RELEASE,"CVE-2014-3527, CVE-2022-22978, CVE-2021-22112, CVE-2016-5007, CVE-2016-9879, CVE-2018-1199, CVE-2022-22976",10,org.springframework.security:spring-security-config:3.2.4.RELEASE,"CVE-2016-5007, CVE-2018-1199",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\org.springframework.security\spring-security-config@3.2.4.RELEASE?type=jar
org.springframework.security:spring-security-core:3.2.4.RELEASE,"CVE-2014-3527, CVE-2022-22978, CVE-2021-22112, CVE-2016-5007, CVE-2016-9879, CVE-2019-11272, CVE-2019-3795, CVE-2022-22976",10,org.springframework.security:spring-security-core:3.2.4.RELEASE,"CVE-2019-11272, CVE-2019-3795, CVE-2020-5408, CVE-2022-22976",fb4e7633c1bf440f97bfd23615de97f4/pom.xml/pkg:maven\org.springframework.security\spring-security-core@3.2.4.RELEASE?type=jar
