Component,CVEs
bson:1.0.9,snyk:lic:npm:bson:Apache-2.0
detect-libc:1.0.3,snyk:lic:npm:detect-libc:Apache-2.0
mongodb-core:2.1.20,snyk:lic:npm:mongodb-core:Apache-2.0
mongodb:2.2.36,snyk:lic:npm:mongodb:Apache-2.0
require_optional:1.0.1,snyk:lic:npm:require_optional:Apache-2.0
revalidator:0.1.8,snyk:lic:npm:revalidator:Apache-2.0
underscore:1.9.1,SNYK-JS-UNDERSCORE-1080984
tar:4.4.8,SNYK-JS-TAR-1536528
tar:4.4.8,SNYK-JS-TAR-1536531
tar:4.4.8,SNYK-JS-TAR-1579147
tar:4.4.8,SNYK-JS-TAR-1579152
tar:4.4.8,SNYK-JS-TAR-1579155
source-map:0.1.34,snyk:lic:npm:source-map:BSD-2-Clause
uglify-js:2.4.24,snyk:lic:npm:uglify-js:BSD-2-Clause
helmet-csp:1.2.2,SNYK-JS-HELMETCSP-469436
mongodb:2.2.36,SNYK-JS-MONGODB-473855
atob:2.1.2,snyk:lic:npm:atob:(MIT_OR_Apache-2.0)
bson:1.0.9,SNYK-JS-BSON-561052
accepts:1.3.5,snyk:lic:npm:accepts:MIT
ansi-regex:2.1.1,snyk:lic:npm:ansi-regex:MIT
arr-diff:4.0.0,snyk:lic:npm:arr-diff:MIT
arr-flatten:1.1.0,snyk:lic:npm:arr-flatten:MIT
arr-union:3.1.0,snyk:lic:npm:arr-union:MIT
array-filter:1.0.0,snyk:lic:npm:array-filter:MIT
array-flatten:1.1.1,snyk:lic:npm:array-flatten:MIT
array-unique:0.3.2,snyk:lic:npm:array-unique:MIT
assign-symbols:1.0.0,snyk:lic:npm:assign-symbols:MIT
async-each:1.0.3,snyk:lic:npm:async-each:MIT
async:0.2.10,snyk:lic:npm:async:MIT
available-typed-arrays:1.0.2,snyk:lic:npm:available-typed-arrays:MIT
balanced-match:1.0.0,snyk:lic:npm:balanced-match:MIT
base:0.11.2,snyk:lic:npm:base:MIT
binary-extensions:1.13.1,snyk:lic:npm:binary-extensions:MIT
bluebird:3.5.3,snyk:lic:npm:bluebird:MIT
